O3,Theta_K,Temp,RH,q,N,Alt,malr,Ri,u,v
75.7,301.769,29.64,46.12,11.8726011,337.367993,54,4.7494399,0.000876287676,0.674435587,-0.580720793
75.7,302.2777,30.1405,45.941,12.1752102,338.610072,54,4.71136729,0.642680152,1.03705648,-0.66564041
75.4,302.3076,30.1605,46.0036,12.2073545,338.754559,55,4.7068769,0.546736601,1.26934861,-0.540161406
75.1,302.0167,29.8676,46.1175,12.0325174,338.01422,55,4.72855375,0.167639904,1.59590062,-0.442831389
75.7,301.7835,29.6331,46.2605,11.9072311,337.520006,55.2,4.74398313,0,1.57323813,-0.175530009
79.4,301.4498,29.3106,46.4667,11.7371035,336.901119,59,4.76526545,-0.323115531,1.44799891,-0.00177664699
77.8,301.5523,29.3872,47.3097,12.008607,338.466746,63.8,4.72451141,-0.326217616,1.18471307,-0.184542529
76.3,301.3431,29.1289,47.9457,11.9965939,338.554058,70.2,4.72220815,-0.676674362,1.23934078,-0.320053813
75.9,301.346,29.1001,48.5874,12.1425711,339.420906,75,4.69964951,-0.508134147,1.48043129,-0.382314281
75.7,301.183,28.8895,49.0524,12.1167617,339.359618,79,4.70016221,-0.679700499,1.62098107,-0.157347751
77.3,301.1811,28.8512,49.2536,12.1447685,339.454856,82.9,4.6953383,-0.864396661,1.50808929,0.130208963
77,301.1866,28.8076,49.2698,12.1249462,339.190755,88.3,4.69761964,-1.12298383,1.37043567,0.34787828
76,301.1781,28.7606,49.6653,12.1949953,339.562717,93.9,4.68636862,-1.4930882,1.05907265,0.739146375
76,301.1712,28.7,49.7915,12.1907015,339.406795,99,4.68604057,-1.89552319,0.876590342,0.848953157
75.5,301.2249,28.7096,50.1554,12.2936155,339.894032,104.8,4.67090338,-1.71823465,0.960963835,0.870917974
75,301.0611,28.4954,50.4627,12.2228257,339.530829,108.9,4.67797727,-1.72485883,1.06775608,1.03262293
76.4,301.2824,28.6422,50.7554,12.411148,340.258854,115.7,4.65256541,-1.13824756,1.2341651,1.19557157
76.5,301.1218,28.4323,50.932,12.3097461,339.697328,121.1,4.66409008,-0.96272329,1.5560048,1.47164124
76.1,301.3199,28.5942,51.0749,12.4672403,340.356775,124.9,4.64363622,-0.736435056,1.7143805,1.4810097
76.4,301.1289,28.3634,51.2081,12.3380395,339.68076,129.9,4.65882238,-0.856028686,1.91019504,1.48236141
77,301.181,28.3699,51.251,12.359848,339.631373,136,4.65572338,-0.886929014,1.91237285,1.48249052
76.5,301.1954,28.3412,51.7587,12.468509,340.210921,140.8,4.63941502,-1.03644932,1.63401437,1.59811276
76.2,301.4297,28.5152,52.1986,12.713088,341.318663,145.9,4.60715553,-0.98575602,1.10876082,1.84601761
76.9,301.2667,28.3022,52.3783,12.6063197,340.729208,151.9,4.61894746,-1.23192024,0.947845364,1.97381289
76.3,301.2913,28.28,52.5403,12.6361582,340.767662,155,4.61433405,-1.3466676,0.777992413,1.9829407
76.2,301.3392,28.28,52.5978,12.6572242,340.714222,159.8,4.61133467,-1.35925591,0.85574115,1.97159772
76.6,301.3459,28.2409,52.6196,12.6403969,340.475917,164.9,4.61310702,-1.30436674,0.860996268,2.09745911
76.4,301.3549,28.2002,52.6796,12.6321401,340.282,171,4.61363523,-1.38275644,0.860359626,2.11133259
76.6,301.4069,28.197,53.0773,12.7339394,340.733681,177.1,4.59914554,-1.29580386,0.860317193,2.22131824
76.9,301.2735,28.0065,53.5345,12.7102801,340.619537,183.8,4.59945388,-1.38950963,0.93766822,2.33420619
76.6,301.4705,28.1383,54.3106,13.0061263,342.095279,189.9,4.56033852,-0.993080505,0.939726119,2.66539327
76.6,301.3508,27.9505,54.7815,12.9861442,341.964405,197,4.56010162,-0.977438878,0.784059665,3.00923321
77.4,301.5424,28.0762,55.1441,13.1799146,342.77825,204.1,4.53571439,-0.94236313,0.683299231,2.96436748
76.6,301.4102,27.8846,54.8471,12.9706992,341.456858,210.8,4.56117971,-1.06839314,0.437492452,3.11694668
76.2,301.648,28.0585,55.2963,13.2218505,342.586311,217,4.52979165,-0.941446049,0.431316578,3.12033107
77.2,301.505,27.8394,55.3397,13.074823,341.639628,224.1,4.54620286,-1.15967733,0.42882683,3.11128656
77.1,301.497,27.7652,55.3,13.018629,341.116345,232.2,4.55270123,-1.19890214,0.287485227,3.21487162
75.6,301.3725,27.564,55.3,12.8768019,340.180131,239.8,4.56906849,-1.49552081,0.2789525,3.11945237
74.2,301.4263,27.5487,55.168,12.8448145,339.716934,245.2,4.57327628,-1.56175946,0.280912576,3.10381384
74.7,301.4379,27.5098,55.7123,12.9503355,340.25941,250.1,4.55802859,-1.72784921,0.372864958,2.98419612
