O3,Theta_K,Temp,RH,q,N,Alt,malr,Ri,u,v
70.1,305.803,33.33,55.17,17.6463812,367.495697,56,4.12194654,,,
69.9,305.2961,32.8172,54.7459,17.0085726,364.246499,55,4.17387007,,,
70.4,305.2501,32.7614,54.8567,16.9912864,364.183654,55,4.1746919,,,
70.9,305.1997,32.7057,54.6373,16.8701651,363.481626,55,4.18553772,,,
71.1,304.964,32.4711,54.4913,16.6012638,362.146103,55,4.20836516,0,-0.0428552096,-0.0553482702
71.5,305.2244,32.7373,54.8266,16.9582871,364.019355,55,4.17750161,120.483967,-0.0428552096,-0.0553482702
71.3,305.2905,32.7986,54.8593,17.0285615,364.351042,55,4.17167763,43.6772714,-0.119649807,0.0471368608
71.4,305.2061,32.7189,54.695,16.8993137,363.67821,54,4.18291395,11.6096633,-0.0340221746,0.210569185
71.8,305.1709,32.6768,54.517,16.8048428,363.116296,54,4.19145242,3.85076068,0.268296641,0.195213095
72.4,304.952,32.45,54.3,16.5241938,361.65382,54,4.21570998,-0.293286056,0.455331357,0.0653709075
72.6,304.9382,32.4401,54.3394,16.526323,361.696828,54,4.21534834,-0.371050945,0.455331357,0.0653709075
72.7,305.1913,32.6925,54.3081,16.7557482,362.759787,55,4.19648263,1.53719818,0.523340976,0.119450673
72.9,305.2641,32.7711,54.2491,16.811271,363.011917,55,4.19224218,3.04177781,0.365809734,0.252162108
73.1,305.3248,32.8298,54.2002,16.8523915,363.174486,55,4.18912412,1.5445222,0.554114989,0.397250323
73.4,305.2765,32.7904,54.2594,16.8314211,363.142129,56,4.19057058,0.515392914,0.975707484,0.561222118
73.2,305.6116,33.1366,54.2959,17.1750547,364.818421,56,4.16279822,1.06969809,0.987964036,0.571595158
72.8,305.2947,32.8197,54.2003,16.8388765,363.187453,56,4.19028548,0.353369912,1.16219485,0.808399421
72.5,305.2621,32.7901,54.2299,16.819192,363.122881,56,4.19175605,0.164074422,1.60817891,1.16820883
74.3,304.8495,32.4175,54.4083,16.5134591,361.926214,57,4.21629117,-0.0298366427,1.67913641,1.22246878
73.1,304.8104,32.3542,54.6066,16.5190647,361.961789,57,4.21477711,-0.0396882811,1.96526143,1.49984011
71.8,304.6518,32.1522,54.8394,16.4086035,361.386236,58.1,4.22279951,-0.101703915,2.02676143,1.55341915
72.3,304.853,32.31,54.8,16.5532083,361.883347,63,4.21070905,-0.0436050785,1.9544581,2.01895853
71.5,304.8365,32.2554,55.1431,16.6134583,362.191011,68.3,4.20390834,-0.0532719015,2.03599005,2.15311203
71.2,304.4267,31.8041,54.8386,16.1080635,359.500777,73.3,4.24817286,-0.173042154,2.33150534,2.21569669
70.4,304.5729,31.9088,55.0754,16.2832891,360.283884,81,4.23180103,-0.141387459,2.58598972,2.18314994
