O3,Theta_K,Temp,RH,q,N,Alt,malr,Ri,u,v
96.2,306.437,34.08,43.47,14.451900217,346.72238968,71,4.4676058974,0.28895468093,-1.9377045475,2.2243653222
94.4,305.8184,33.4329,43.1563,13.837549876,343.65816814,78.8,4.533621761,0.10440774986,-2.0592010542,2.0014438734
94,305.7642,33.3403,44.0663,14.064475386,345.07163842,84,4.5035953302,0.12060239998,-1.9329586517,1.6651734266
92.6,305.6615,33.1935,44.7926,14.187266463,345.88621473,90.8,4.4861076828,0.075294404444,-1.9323716256,1.6638629452
93.8,305.5595,33.0269,45.1515,14.178395611,345.80999215,102.1,4.4846179013,0,-1.928494394,1.6613159039
95,305.3115,32.7131,45.2985,13.984570935,344.774151,108.9,4.5038439616,-0.28157230968,-1.546808208,1.3974768434
92.2,305.2216,32.5547,45.3097,13.873962314,344.02315171,115.8,4.5153271136,-0.3770840913,-1.4075611404,1.7984754866
92.9,305.1012,32.3804,45.9786,13.95039546,344.54301347,122,4.5029614645,-0.51419760154,-1.4019775713,1.8106791239
95.3,304.9611,32.1745,46.4301,13.934890481,344.47978833,128.8,4.5017073864,-0.56845060434,-1.5637253767,2.0195793093
93.9,304.992,32.1396,46.7824,14.024198813,344.83898512,135,4.4899638402,-0.49851074685,-1.7970873603,2.173347885
93,304.9969,32.0808,47.1745,14.105924374,345.18690474,140.9,4.4788840204,-0.53736792988,-1.9729101361,2.0424303378
94.3,304.677,31.6933,47.6537,13.949605242,344.47796536,149.7,4.4923589432,-0.80239262612,-2.1451334892,1.9051412844
94.3,304.7097,31.6601,47.9781,14.029472808,344.77132564,157,4.4818420419,-0.85195979996,-2.1508300454,1.9002184389
93.2,304.6788,31.5625,48.0092,13.971179454,344.27841445,161.9,4.4876118324,-0.89164170554,-2.2004916077,1.9763162638
93.4,304.6844,31.4999,48.5331,14.085785407,344.81990986,167,4.4723440454,-0.93139363487,-2.0850893067,2.1273579912
94.4,304.7324,31.4901,48.9154,14.199045757,345.32834778,171.9,4.4582198391,-1.0528271314,-1.8692674746,2.1271883669
