O3,Theta_K,Temp,RH,q,N,Alt,malr,Ri,u,v
63.3,305.273,33.1,36.99,11.59792801,330.6874823,57,4.847892164,-2.992751972,0.3663682784,0.3547876612
63.2,305.3448,33.168,37.1259,11.68621659,331.1437608,57,4.83493076,-2.492430874,0.3079321714,0.3943068194
63,305.4615,33.2805,37.3899,11.84548218,331.9921696,57,4.811716037,-1.577842673,0.2410874559,0.4150624514
62.9,305.6287,33.4457,37.351,11.94417917,332.3900464,57,4.799052981,-0.1217453701,0.2410874559,0.4150624514
62.9,305.6639,33.4679,37.1883,11.90832203,332.0865204,57,4.804940585,0,0.2410874559,0.4150624514
62.8,305.314,33.118,36.9065,11.58633499,330.5047687,58,4.850032814,-3.310588291,0.2410874559,0.4150624514
62.9,305.5374,33.3376,36.8241,11.70515785,330.9511986,58,4.834632665,-1.537606177,0.1752305822,0.4161087515
62.8,305.2552,33.0562,36.7612,11.50063606,330.0270139,57,4.862824856,-2.423214732,0.1806013268,0.5791960383
62.6,305.1431,32.9432,36.8008,11.4398006,329.787931,57,4.870879525,-2.41362254,0.3131295019,0.6046277574
62.3,304.615,32.4189,36.859,11.12198967,328.4642541,55,4.915054668,-3.759470993,0.4129252585,0.6246552416
62.5,304.5053,32.2982,36.6553,10.98587803,327.7108164,55,4.936192344,-2.399963086,0.754797111,0.6449288033
63,304.4,32.1884,36.3623,10.83023588,326.8393203,55.9,4.961243396,-1.948777525,1.040767631,0.5274703577
63,304.2706,32.0637,36.5635,10.81294346,326.9097981,58,4.962247776,-2.126836651,1.067547594,0.5159715343
62.9,304.4583,32.256,36.7466,10.98639237,327.7886508,58,4.935427613,-1.162068268,1.364902384,0.5923579099
62.9,304.2127,32.006,36.694,10.81621196,327.0058314,58.9,4.960751557,-1.179560749,1.464457435,0.7216281451
62.8,304.3465,32.146,36.6625,10.89253511,327.3363806,59.9,4.949774217,-0.9675916962,1.5707752,0.7290062833
62.7,304.3931,32.1978,36.4802,10.8693347,327.1394547,60.9,4.954614752,-0.8069120404,1.740800491,0.7149554253
63,304.3217,32.1228,36.5568,10.84638686,327.0768019,60,4.957385599,-0.9127054929,1.638635955,0.7525971341
63,304.1833,31.9907,36.6708,10.79808947,326.9642641,60,4.963662707,-2.685324322,0.7712436756,0.7818097165
63.1,304.1596,31.9135,36.5564,10.72368993,326.3827646,61.9,4.975449709,-2.780163471,0.7888271398,0.802808815
67.1,303.97,31.7355,36.9766,10.73665196,326.7457367,67.8,4.970308253,-3.102263609,0.8203859401,0.832502462
67.5,304.194,31.934,37.5093,11.01970575,328.2059867,73.6,4.924583186,-1.163141796,1.502260798,1.090271037
