O3,Theta_K,Temp,RH,q,N,Alt,malr,Ri,u,v
49.3,305.187,32.71,45.12,13.907316,344.760638,56,4.51352333,-Inf,0,0
49.1,305.1994,32.7196,45.2444,13.9541412,345.030733,56,4.50776808,-Inf,0,0
49.3,305.2622,32.7783,45.4929,14.0787983,345.724995,56,4.4930885,-Inf,0,0
49.2,305.5049,33.0218,45.7232,14.3472933,347.079666,56,4.46389208,-Inf,0,0
49.2,305.5494,33.0683,46.0229,14.4799397,347.859967,55.1,4.44862295,,0,0
49.2,305.6498,33.1723,46.0461,14.5722253,348.308256,55,4.43921998,Inf,0,0
49.2,305.8593,33.3888,45.9214,14.7103018,348.893229,55,4.42625668,Inf,0,0
49.4,305.9763,33.4991,45.1612,14.5560021,347.73559,55,4.44618999,Inf,0,0
49.6,305.9598,33.481,44.9479,14.4721492,347.225137,55,4.4559302,Inf,0,0
49.7,305.7771,33.3031,44.6936,14.2448827,346.063688,54.9,4.48072891,Inf,0,0
49.6,305.983,33.509,44.7644,14.4346144,346.965215,54,4.46087296,Inf,0,0
49.3,305.915,33.4398,45.167,14.508957,347.530503,54,4.45088673,Inf,0,0
48.9,305.557,33.08,45.138,14.2078197,346.13699,54,4.48182026,-Inf,0,0
48.6,305.5441,33.0641,44.5832,14.0196415,344.953745,54,4.5049053,-Inf,0,0
48.3,305.2828,32.8028,44.7383,13.8619945,344.32767,53,4.52070846,-Inf,0,0
48,305.5833,33.1021,44.93,14.16019,345.786638,53,4.48802925,-Inf,0,0
47.8,305.6043,33.1213,44.9292,14.175609,345.850068,53,4.48642486,-Inf,0,0
47.6,305.7384,33.2575,44.853,14.2604797,346.199911,53,4.47811367,Inf,0,0
47.4,305.9648,33.4852,44.9098,14.4634911,347.157549,54.1,4.45703403,Inf,0,0
47.6,305.1888,32.7152,43.8388,13.5127498,342.256651,56.3,4.56443071,-Inf,0,0
49.2,304.65,32.1505,43.6648,13.037274,339.921963,61.1,4.61946252,-Inf,0,0
49.2,304.1172,31.5859,43.978,12.7196998,338.555564,66.2,4.65491893,-Inf,0,0
