O3,Theta_K,Temp,RH,q,N,Alt,malr,Ri,u,v
70.4,299.9375,26.195,34.9219,7.47342168,306.888558,233.4,5.58265736,-1.19184308,0.22633332,4.45925983
69.7,299.8544,26.0647,34.7692,7.38736684,306.306715,238.5,5.60343663,-1.35412599,0.0192340823,4.3318573
69.4,299.8811,26.0412,34.601,7.34560061,305.87744,241.7,5.6142783,-1.54045267,-5.03084905e-16,4.108
68.5,299.9447,26.0489,34.7044,7.37587597,305.867151,244.7,5.60625898,-1.60256471,0.191927512,4.03984346
68.6,299.9738,26.0318,34.5565,7.34078691,305.493034,247.7,5.61542194,-1.7056353,0.0194129105,3.9582524
69.1,300.0206,26.0391,34.5764,7.3516478,305.413982,251.6,5.61261379,-1.93448967,0.262976524,3.73144474
69.3,300.0563,26.0308,34.6627,7.37018347,305.391423,255.7,5.6074898,-1.93308516,0.462729671,3.74673408
69.6,300.0227,25.9592,34.7496,7.36073135,305.275174,259.5,5.60885175,-1.91838413,0.539793975,3.82166647
69.4,300.0269,25.9233,35.1244,7.42808584,305.618278,264.4,5.59022286,-1.8539231,0.547799411,3.93878899
69.4,300.0388,25.893,35.6734,7.53488691,306.204263,268.6,5.56147273,-1.81079547,0.52031446,4.02843698
69.8,299.9536,25.764,36.054,7.56132575,306.373504,273.5,5.55241558,-1.86974414,0.544749499,4.06970318
70.6,299.9116,25.678,36.324,7.58322279,306.461696,278.5,5.5452768,-1.94405124,0.519673981,4.07701348
70.2,299.9362,25.6524,36.7559,7.66663641,306.859991,283.4,5.52322907,-2.03589468,0.440402698,4.03312607
69.6,299.9253,25.595,37.9833,7.90123905,308.297697,288.6,5.46278804,-2.08861718,0.430369489,4.02706867
69.5,299.7524,25.3777,38.4704,7.90412736,308.416359,292.5,5.45847193,-2.62879126,0.210997822,3.73444401
69.6,299.77,25.35,38.8133,7.96587713,308.695773,296.6,5.44267737,-2.85789536,0.431828028,3.59415144
69.7,299.9239,25.459,39.1315,8.08824426,309.203587,300.6,5.41447124,-2.93093544,0.514730037,3.49964917
70.3,299.8471,25.3321,39.1876,8.04349905,308.881985,304.7,5.42328594,-3.57555082,0.519800999,3.24037315
70.5,299.9549,25.3996,39.4023,8.12427994,309.185235,309.4,5.4047448,-4.55979993,0.427247941,2.86562497
70.5,299.8547,25.2604,39.7732,8.13693925,309.295911,314.4,5.39937801,-5.41881266,0.41484768,2.69505837
70.6,299.8577,25.2222,39.8556,8.1393522,309.204028,319.4,5.39816222,-5.97424696,0.209092948,2.62167506
70.6,299.9076,25.229,39.7521,8.12548453,308.950742,324.5,5.40162761,-6.64565521,-0.065312051,2.51125083
70.2,299.9481,25.221,39.38,8.0497333,308.291423,329.5,5.41992085,-7.20986487,-0.197098203,2.42901653
70.6,299.9906,25.2108,39.1563,8.00390066,307.812223,334.6,5.43099284,-7.17946117,-0.493915392,2.41674502
70.8,299.8357,25.0154,39.0958,7.90236527,307.235721,340.3,5.45291064,-6.86102954,-0.978056908,2.42143283
70.9,299.8452,24.9722,39.1256,7.89291236,307.03472,346.3,5.45455454,-6.77251685,-1.13083867,2.41384077
71.1,299.9964,25.0689,39.3817,7.99605539,307.398775,353.3,5.43057281,-6.0720958,-1.27814812,2.49664583
71.5,299.9357,24.9527,39.1555,7.89995533,306.709491,359.5,5.45247273,-6.9191435,-1.1596614,2.43018903
73.2,299.8296,24.7837,39.1208,7.81928706,306.152952,364.6,5.46991598,-6.85938761,-1.14204662,2.53579312
72.2,300.0342,24.9204,38.8281,7.83057548,305.821821,369.4,5.46933571,-6.13524093,-1.27727557,2.61893061
73.8,300.0342,24.8592,38.6284,7.7670941,305.26454,374.5,5.48438764,-6.78411746,-1.16054538,2.56277024
73,300.0121,24.787,38.322,7.67648642,304.577675,379.5,5.50637014,-7.03436412,-1.02804211,2.61411752
71.8,300.0412,24.7616,37.8767,7.58023862,303.782858,385.5,5.53089567,-7.11522293,-1.22481739,2.54944483
71.1,300.0909,24.751,37.4341,7.49174253,303.006092,390.5,5.5539579,-6.97268685,-1.34232642,2.55268341
71.4,300.1717,24.7856,37.4702,7.51861145,302.978785,394.6,5.54744483,-7.22147358,-1.3043193,2.5188258
73,300.1659,24.7277,37.5601,7.5152474,302.838664,399.5,5.54737148,-6.95025339,-1.43936457,2.54967214
71.6,300.2014,24.72,37.4543,7.49438646,302.556276,403.6,5.55274594,-8.67527141,-1.46085268,2.19585705
70,300.2348,24.711,37.5928,7.52189176,302.596816,408.5,5.54534579,-8.9804841,-1.3106234,2.25591385
69.1,300.2742,24.71,37.4953,7.50541001,302.347562,412.5,5.54967082,-9.19294313,-1.43465748,2.15923498
69,300.2923,24.6744,37.5156,7.49818877,302.15282,417.4,5.55098645,-9.26610695,-1.31177542,2.25385583
69.5,300.1726,24.5082,37.4301,7.41092195,301.60942,420.7,5.57141515,-10.6184665,-1.25052723,2.15678679
69.6,300.2113,24.49,37.4659,7.4148407,301.457514,424.7,5.57006634,-10.3295378,-1.15145435,2.26883569
68.6,300.4142,24.6492,37.4346,7.48345971,301.570475,427.7,5.55446148,-6.96359126,-1.48398664,2.66944213
68.2,300.2978,24.5011,37.43,7.41917674,301.208591,431.6,5.5690922,-6.36986355,-1.79065104,2.72681457
67.9,300.2718,24.4437,37.4663,7.40365834,301.060134,435.6,5.57228899,-6.58332918,-1.96989764,2.57703181
67.5,300.294,24.4223,37.4258,7.38986066,300.843326,439.5,5.57563019,-6.30591151,-2.34461823,2.37479877
67.5,300.319,24.4112,37.5344,7.4096048,300.857308,443.5,5.57015976,-6.59878584,-2.39479664,2.24069749
67.7,300.3273,24.3833,37.6389,7.42102347,300.836824,448.4,5.56664672,-5.97562523,-2.56155131,2.3473198
67.8,300.1905,24.2092,37.686,7.35631558,300.480634,452.6,5.58111384,-7.40326985,-2.34134651,2.17293557
68.8,300.1941,24.1718,37.5718,7.32091446,300.15143,457.5,5.59005646,-6.82119695,-2.4775767,2.26962854
68.2,300.221,24.1522,37.6225,7.32614165,300.046897,461.6,5.58831639,-8.28600234,-2.16946783,2.16891508
67.2,300.413,24.2968,38.1805,7.50439431,300.872879,465.7,5.54308853,-8.32779849,-1.98957077,2.27306859
66.6,300.379,24.228,39.0407,7.64570321,301.745799,470.6,5.50503902,-10.5431839,-1.78649854,2.03817297
66.1,300.2652,24.0773,39.4947,7.66851633,301.937638,474.6,5.49664586,-14.0157431,-1.67805,1.7081506
65.7,300.2916,24.06,40.0165,7.76624902,302.435632,478.6,5.47133673,-16.4976481,-1.66840862,1.45875122
66,300.4707,24.1924,40.5906,7.94557128,303.279968,483.4,5.42850299,-19.8700439,-1.57122224,1.23274859
66.3,300.3144,23.9967,40.9356,7.92328276,303.221343,488.4,5.43078609,-24.9142921,-1.37224852,1.20738844
66,300.3028,23.943,41.3206,7.9762679,303.477742,493.5,5.41675784,-23.4951059,-1.38330251,1.30234181
66.3,300.33,23.9307,41.7219,8.05182783,303.843215,497.7,5.39798644,-27.8468191,-1.25978083,1.21799325
65.9,300.2991,23.8548,42.5391,8.17720068,304.58202,501.8,5.36633591,-36.5857247,-0.955171384,1.21143341
66.2,300.1574,23.6583,43.1102,8.19416107,304.760914,506.6,5.35899309,-46.3251615,-1.10007207,0.869486223
66.4,300.2905,23.7401,44.0154,8.41353614,305.904706,510.6,5.30852683,-57.1394103,-0.954810849,0.812156692
66.9,300.1967,23.6044,44.4913,8.43972873,306.083138,515.6,5.30018032,-53.87489,-1.09398746,0.725696412
