O3,Theta_K,Temp,RH,q,N,Alt,malr,Ri,u,v
55.4,300.123,27.88,73.67,17.2039103,374.382302,8,4.0812874,-0.00216062108,-0.345143242,8.90331265
55.3,300.6436,28.3996,73.7876,17.7672775,377.202575,7,4.03767681,-9.3534364e-05,-0.280532402,9.03314496
55.2,300.437,28.19,73.72,17.5338577,376.014137,7,4.05555684,-0.00080001675,-0.279222226,9.03568674
55.2,300.3234,28.0832,73.7006,17.4180016,375.460681,9.9,4.06453295,-0.00144586358,0.270119724,9.6187079
57.6,300.66,28.42,73.99,17.8370061,377.642568,13,4.03177978,0,-0.181017545,10.0683729
57.9,300.128,27.8763,73.6793,17.2042452,374.349746,15.9,4.08120049,-0.00341990785,-0.288520943,10.0075418
56.6,299.51,27.23,73.45,16.512858,370.73726,19,4.13781806,-0.00887267197,-0.291720146,10.0057483
58,299.5188,27.1614,73.4304,16.4564537,370.141904,25.9,4.14236173,-0.0131434814,-0.368397337,9.85601744
59.7,298.501,26.11,73.36,15.4500803,365.022671,35,4.23058766,-0.0341144665,-0.296210304,9.58542432
58.8,298.9471,26.5316,73.1443,15.8007997,366.573314,42.8,4.19968159,-0.0324037618,0.416299413,9.86552053
59.5,299.3296,26.88,71.1834,15.7011676,365.220063,51.1,4.21554776,-0.0330200088,0.426868271,9.87297626
58.6,299.3849,26.88,70.5232,15.5644538,364.080546,56.9,4.23013154,-0.035623817,0.00855414999,10.1054964
58.4,299.466,26.9,70.51,15.5910776,363.968055,64,4.22758533,-0.0395252159,-1.23811791e-15,10.11
59.9,299.5797,26.9686,70.0296,15.5553906,363.431408,71.8,4.23246912,-0.0437738622,-1.22611638e-15,10.012
59.7,300.0245,27.3561,68.5154,15.579614,362.743372,78.9,4.23583287,-0.0387813661,0.107975686,9.9203124
59.3,300.6833,27.9587,67.2222,15.8464134,363.310488,88.1,4.21678246,-0.0246511192,0.388112507,9.84745473
59.4,300.613,27.83,66.44,15.5526791,361.348494,94,4.24601653,-0.0289753456,0.53549403,10.3561646
57.8,300.8247,27.9756,66.6342,15.7452016,362.097488,98.9,4.22770469,-0.0218377208,0.29524775,11.1039755
58.9,300.8973,27.9899,66.64,15.7706297,361.995458,105.9,4.22523587,-0.0232128475,0.258000732,11.0180797
59.5,300.786,27.8123,66.8489,15.6681205,361.324832,112.1,4.23338308,-0.0299372298,0.2936716,11.1155213
59,301.084,28.0453,66.7421,15.8710335,362.009596,117.9,4.21552888,-0.0233313461,0.935811432,11.0215427
59.6,301.11,28.01,66.6,15.8155484,361.443775,123,4.22081006,-0.0253331453,1.05313072,11.1202435
