O3,Theta_K,Temp,RH,q,N,Alt,malr,Ri,u,v
66.6,300.875,28.96,63.65,15.7533683,364.562365,8,4.24192407,-0.430246086,-0.214324345,0.276703948
66.7,300.9002,28.9891,63.6791,15.7866633,364.752892,8,4.23884691,-0.355283779,-0.214324345,0.276703948
67.2,300.956,29.05,63.75,15.859917,365.155108,8,4.23206396,-0.196964936,-0.214324345,0.276703948
67.2,301.1638,29.2636,63.5947,16.0183049,365.878494,8,4.21881032,0.286411535,-0.136304058,0.343333022
67.2,301.0294,29.1314,63.6989,15.921114,365.460723,7,4.22690029,0,-0.0612240882,0.464986678
67.2,301.3202,29.4322,63.9331,16.261066,367.248552,7,4.19649533,0.372014224,-0.0612595011,0.468108624
67,301.5406,29.6555,64.2438,16.5542249,368.813434,6,4.17051212,0.26660029,-0.200693285,0.655672705
66.8,301.939,30.056,64.5173,17.0165138,371.181207,7,4.1316781,0.540134727,-0.204153593,0.659106448
65.9,302.26,30.373,64.783,17.4049722,373.168171,7,4.10001786,1.05079912,-0.14209677,0.555927107
64.8,302.565,30.677,64.087,17.5216551,373.423102,6,4.09384068,0.393862879,-0.00236981261,0.956197063
63.5,302.5393,30.6503,63.6939,17.3863972,372.589217,6,4.1058793,0.379671843,-1.17566093e-16,0.96
62.4,302.3633,30.4753,63.7482,17.2258297,371.842554,6,4.11820283,0.154495987,0.191811017,1.40315037
62.3,302.9628,31.0738,63.9678,17.8939038,375.171508,7,4.06620231,0.257456489,0.199511829,1.41601378
62.3,302.9321,31.0509,63.8147,17.8253177,374.804126,7,4.07196916,0.126757206,0.259716593,2.00535177
62.7,302.903,31.02,63.36,17.6658353,373.819962,7,4.08584095,0.121195896,0.261330626,2.02319211
63.2,302.3246,30.4416,62.8796,16.9546231,370.164389,7,4.14338771,0.0438006857,0.527995103,2.74457413
64,301.9972,30.1132,62.7314,16.5958292,368.359074,7,4.17332369,0.0257803451,0.437852168,3.09599156
66.7,302.0023,30.1097,62.6341,16.5681185,368.148585,10,4.17600877,0.0339168723,0.452143547,3.21374974
66.6,301.9277,30.0803,62.0459,16.3744056,367.129914,15,4.19488546,0.0351651421,0.451495873,3.75757217
65.3,301.3165,29.3917,61.3376,15.5647509,362.613895,21.1,4.2687006,0.00838263575,0.263628969,3.96264025
66.8,300.5699,28.5665,60.0949,14.5423655,356.865454,26.9,4.37139066,-0.0426411102,0.245564088,4.09995263
66.9,299.913,27.86,59.08,13.7216659,352.327019,34,4.46119686,-0.109963413,0.245181316,4.10268036
67.3,299.4217,27.3454,57.012,12.8453937,347.201052,39.8,4.56995841,-0.180507873,0.324383367,4.09717896
67.4,299.6733,27.5577,54.9011,12.5280829,344.630282,44.9,4.61829317,-0.190460251,0.32675742,4.09699031
68.4,299.902,27.7416,51.9133,11.9765522,340.547379,51,4.70301281,-0.20830017,0.325586783,4.09828729
69.6,300.101,27.8969,49.2434,11.4663884,336.790849,55.9,4.78557802,-0.209820341,0.204701783,4.22274135
71.1,300.112,27.85,49.7,11.5494379,337.17634,62,4.77148259,-0.235985318,0.202210056,4.22516403
72.2,300.6247,28.3206,50.4157,12.0511374,339.652737,68.9,4.7009625,-0.215180713,-0.171188492,3.99103027
73.1,300.7221,28.3597,51.0338,12.2362469,340.583955,74.9,4.67381,-0.22324032,-0.178215601,3.98601796
74,300.788,28.37,51.32,12.3209231,340.901789,80,4.6614468,-0.270870013,-0.318187067,3.69633021
74.3,300.8731,28.3997,51.2012,12.3215804,340.644814,85,4.66182476,-0.291082092,-0.48176678,3.61867118
74.9,301.1434,28.6099,50.9961,12.43249,340.835856,89,4.64893831,-0.265116768,-0.353685115,3.56158162
76.3,301.1803,28.6002,50.6078,12.3367873,340.041673,91.9,4.66279047,-0.294374074,-0.108927732,3.49000052
78.1,301.0652,28.4416,50.4317,12.1861423,339.109662,96.9,4.68258677,-0.358811901,-0.104144042,3.48844579
78.9,301.2979,28.6341,50.3329,12.3057984,339.457816,100.9,4.66789781,-0.522699875,0.0996409452,2.71166995
79.2,301.149,28.44,50.24,12.1506301,338.539578,106,4.68787696,-0.664596804,0.104201495,2.68798104
79.6,301.1568,28.4109,50.2109,12.1281058,338.288062,109.9,4.69079284,-0.671074019,0.609326713,2.6898485
79.9,301.1884,28.4002,50.21,12.1263739,338.123226,113.9,4.69088182,-0.657156137,0.739069686,2.75063979
