O3,Theta_K,Temp,RH,q,N,Alt,malr,Ri,u,v
70,301.111,29.33,58.94,14.8720694,358.788309,9,4.34482445,,,
69.9,301.3337,29.5597,59.2217,15.1437694,360.240443,9,4.3175566,,,
70.1,301.2975,29.5264,59.3936,15.158306,360.396619,9,4.31541572,,,
70.2,301.1388,29.3599,59.5752,15.059704,359.97702,9,4.32392728,-8.08945293,-0.101119997,-0.0629250049
70.5,301.465,29.69,59.75,15.3965507,361.684049,9,4.29155945,0,-0.09,-5.5109106e-18
70.7,301.7903,30.0154,59.698,15.6764899,363.00126,9,4.26625871,13.1162376,-0.0916948913,0.00096794442
70.5,301.3264,29.5533,59.5012,15.2100911,360.686708,9,4.31004977,-0.696086814,-0.133752785,0.232583496
70.5,301.0017,29.2268,59.5705,14.9413392,359.425899,8,4.33530058,-0.301504095,-0.208779777,0.654402487
70.6,300.893,29.12,59.92,14.9362281,359.561373,8,4.33423177,-0.108913597,-0.249637476,1.22481882
70.5,300.673,28.9,59.81,14.7182369,358.468754,8,4.35594284,-0.152189689,-0.249637476,1.22481882
70.3,300.7438,28.9627,59.9021,14.7964923,358.855531,8,4.34784061,-0.0913841194,-0.161931539,1.53508278
70.2,301.0226,29.2367,60.1126,15.0892025,360.332353,7,4.31870103,-0.0316985784,-0.172010367,1.90454817
70.5,301.343,29.5612,60.2426,15.4099927,361.943868,7,4.28810934,-0.00452571917,-0.11801295,2.5124299
70.4,301.377,29.6,60.33,15.4666368,362.271846,7,4.28252542,-0.00240581882,-3.29429989e-16,2.69
69.9,301.3993,29.6213,60.5406,15.5405174,362.717537,7,4.27483855,-0.00130133285,-0.104201495,2.68798104
69.8,301.5305,29.7544,60.5982,15.6758647,363.402322,7,4.26233135,0.0036633666,-0.106578231,2.69069005
69.7,301.7549,29.9699,60.5091,15.8514147,364.1698,7,4.24701079,0.0103341034,-0.230518383,2.82400723
69.5,301.7473,29.9665,60.4208,15.8241546,364.015649,8.1,4.24983112,0.00930882595,-0.294355125,3.15991962
71.8,302.0589,30.2836,60.4512,16.124813,365.496107,13.2,4.22335225,0.0278088127,-0.344725051,3.33583537
72,302.1683,30.3845,60.1758,16.1463226,365.439418,20.3,4.22267657,0.0452938182,-0.357763736,3.46638661
71.5,301.8008,29.9964,60.3192,15.8290987,363.90133,27.1,4.24976627,0.0229531458,-0.38432507,3.83378445
70.2,301.4709,29.624,60.2257,15.4739565,361.986844,33.2,4.28209752,-0.00320202976,-0.517745403,4.1222131
71.1,300.7348,28.8433,59.3912,14.5860734,357.197549,41.2,4.37053739,-0.0694685106,-0.543867404,4.34731201
70.3,300.5735,28.6335,54.9242,13.32321,349.023991,48.3,4.52533889,-0.115017112,-0.625752442,4.39022904
69.9,300.712,28.72,54.28,13.2407125,348.140503,56,4.5377256,-0.108238109,-0.660563618,4.75433021
69.6,301.0667,29.021,51.3922,12.7610304,344.345875,62.1,4.60843004,-0.0959072153,-0.687741907,4.89310418
69.4,301.2351,29.124,48.6712,12.16254,340.018842,67.1,4.69703523,-0.0993388878,-0.53979051,5.03796471
69.9,301.4862,29.3214,48.7363,12.3274427,340.606946,72.1,4.67567925,-0.075665821,-0.602942204,5.36824596
70.8,301.5957,29.3894,49.0473,12.4619151,341.224601,76.2,4.65708473,-0.0694030251,-0.699592322,5.46117242
72,301.6216,29.3708,49.2835,12.5153435,341.423523,82.2,4.64904573,-0.070514431,-0.72086869,5.65584573
72.4,301.6874,29.3899,49.371,12.5585456,341.492483,87.1,4.64312006,-0.0655797335,-0.664502925,5.95212186
72.5,301.7206,29.3758,49.472,12.5810301,341.472702,92.1,4.63966451,-0.0722702422,-0.756820913,5.85246816
73.6,301.5623,29.1748,49.5715,12.4662358,340.836984,99.2,4.65303853,-0.0961453333,-0.759349194,5.91969594
74.6,301.7631,29.3281,49.6204,12.5973227,341.290317,107.3,4.63656917,-0.079247675,-0.876721448,6.17941625
74.8,301.7666,29.28,49.6303,12.5723274,340.988581,114.1,4.63939016,-0.0818092136,-1.28740608,6.39132801
74.8,301.819,29.2766,49.6622,12.5862893,340.86079,122.1,4.63733183,-0.0884921487,-0.937515975,6.41930078
74.7,301.7209,29.107,49.7709,12.5005399,340.259414,129.2,4.64698578,-0.116760279,-0.857986848,6.29762274
75.9,301.6868,29.0096,49.8092,12.4486776,339.80781,137.3,4.65295755,-0.142147642,-0.768406709,6.16580355
75.9,301.732,29,50.04,12.5078264,339.989426,144,4.64422736,-0.157061005,-0.862905049,5.9881462
75.7,301.8089,29.0103,49.9679,12.5069494,339.705434,150.1,4.64451824,-0.173217902,-0.765905212,5.80721064
77,301.8994,29.0402,49.743,12.4807078,339.25661,156.1,4.6487939,-0.192546291,-0.765266122,5.55513686
77.8,301.9687,29.0503,48.9134,12.2867403,337.751225,160.2,4.6773622,-0.210952738,-0.765967752,5.4326677
78.5,302.0266,29.0612,48.6961,12.2462859,337.288631,166.2,4.68353392,-0.227826726,-0.765917374,5.31509836
78.1,302.1122,29.0992,48.5588,12.2453246,337.04485,173.2,4.68428377,-0.230275705,-0.757103904,5.31403773
77.6,302.141,29.08,48.28,12.1677486,336.380556,178,4.69555128,-0.248716365,-0.538452956,5.28262893
78.7,302.2014,29.08,48.1384,12.1390066,335.996275,183.1,4.69986359,-0.278725228,-0.573676521,5.06622317
79.4,302.2452,29.0797,47.98,12.1047745,335.603959,191.2,4.70501192,-0.310588179,-0.473181829,4.92652815
79.5,302.286,29.07,47.98,12.1050125,335.424118,197,4.70482085,-0.374974262,-0.322579635,4.57865072
79.4,302.3323,29.0597,47.9682,12.1028088,335.202451,205.1,4.70498842,-0.419136558,-0.323630096,4.43711334
79.9,302.3618,29.0303,47.7871,12.0444144,334.6373,213.1,4.71335296,-0.472391954,-0.476988811,4.31360797
79.9,302.4453,29.0602,47.5008,11.9999837,334.105166,222.2,4.72059087,-0.486555585,-0.475900723,4.30376794
78.9,302.5021,29.0624,47.5382,12.0188085,334.009185,232.2,4.7177584,-0.506299525,-0.467234368,4.30411389
78,302.3214,28.8262,47.4819,11.8481266,333.01157,239.2,4.74018133,-0.639255938,-0.182746444,4.30151984
78.7,302.532,28.98,47.53,11.9747902,333.405439,244,4.72315282,-0.608744466,-5.13127009e-16,4.19
80.3,302.5873,28.9798,47.5691,11.9924613,333.301816,250.1,4.7204505,-0.700513058,-4.83723239e-16,3.9499
79.9,302.6151,28.9562,47.4814,11.9608855,332.932939,255.1,4.7248988,-0.733122274,0.00421039937,3.94179775
79.2,302.4728,28.7698,47.55,11.8549123,332.332662,260.1,4.73822511,-0.822632924,0.212666173,4.0225823
79.9,302.5109,28.7597,47.5503,11.8546109,332.160456,265.2,4.73810966,-0.881404401,0.0901648562,3.94106873
80,302.5427,28.75,47.5531,11.8543751,332.011532,270.2,4.73799047,-0.873160028,-0.0926974535,4.00892843
80.6,302.584,28.75,47.38,11.8166689,331.608346,275,4.74384025,-0.892573713,-0.258076134,4.00168673
80.8,302.6334,28.7499,47.3804,11.8235419,331.462172,279,4.74277059,-0.85700864,-0.254335597,4.11264315
80.8,302.6715,28.7396,47.42,11.8329936,331.352991,283.1,4.74113774,-0.853282268,0.110937162,4.16922432
80,302.697,28.7215,47.42,11.8265077,331.168587,285.8,4.74185396,-0.856658811,0.273933875,4.1981723
79.7,302.7309,28.7012,47.4951,11.8388056,331.067686,288.8,4.7396196,-0.873937483,0.287077451,4.20020077
80.9,302.8053,28.7271,47.3102,11.8169633,330.705264,293.5,4.74342677,-0.923472398,0.287427253,4.09141636
81.5,302.7575,28.63,47.4718,11.7974183,330.520202,299.5,4.74490842,-0.950246809,0.374282501,4.19152238
81.7,302.6022,28.427,47.6187,11.7012517,329.988948,305.5,4.75669993,-1.07698459,0.558524338,4.20143846
80.9,302.8641,28.6353,47.7427,11.8828204,330.676121,311.6,4.73175225,-0.92471486,0.439773684,4.30208082
80.1,302.6518,28.3718,47.961,11.7623434,330.054543,315.8,4.74623125,-1.03032269,0.20150375,4.45014026
81.2,302.7119,28.3786,48.1657,11.8248483,330.245652,317.9,4.73660346,-1.23760169,-0.155179566,4.05623273
82,302.7379,28.342,48.2559,11.8303741,330.092702,320.8,4.73515764,-1.21426152,-0.430961862,4.13098093
81.3,302.7792,28.3309,48.3513,11.853618,330.052306,324.7,4.73137726,-1.20793277,-0.688771679,4.13959006
,302.8142,28.3198,48.3598,11.8543166,329.897517,329,4.73109081,-1.15584352,-0.801708572,4.25513377
80.1,302.8286,28.2904,48.3453,11.8365262,329.652355,332.2,4.73337417,-1.18238451,-0.792534671,4.26326008
79.9,302.6826,28.0991,48.4504,11.7364348,329.094559,336.1,4.74589894,-1.24517827,-0.603058844,4.41964618
81.2,302.6402,28.01,48.4916,11.69159,328.749569,342.1,4.75150834,-1.28740742,-0.529036499,4.48832895
81.6,302.698,28.009,48.5767,11.7196114,328.706286,348.1,4.74708703,-1.32389268,-0.255768363,4.48431189
81.3,302.6998,27.96,48.9015,11.7717678,328.908507,355.2,4.7381345,-1.32530538,0.307103387,4.56177443
81,302.7576,27.9594,48.9542,11.7921138,328.818357,361.1,4.73495272,-1.30779372,0.456352502,4.61509222
80.2,302.7855,27.9299,49.1612,11.8298544,328.878101,366.1,4.72861252,-1.40935898,0.898868979,4.42880338
79.5,302.8326,27.9194,49.2824,11.859838,328.865772,371.1,4.72380069,-1.49247634,1.05420101,4.29841434
