O3,Theta_K,Temp,RH,q,N,Alt,malr,Ri,u,v
73.2,302.556,30.76,60.03,16.4612505,366.86158,7,4.19647151,,,
73,302.9774,31.1813,60.379,16.9649553,369.440798,7,4.15351476,,,
72.9,302.5646,30.7646,60.3257,16.5483625,367.399471,7,4.18786571,,,
72.7,302.4295,30.6295,60.2217,16.3911537,366.597336,7,4.20152325,,,
72.8,302.3781,30.5791,60.3872,16.3887412,366.663941,7,4.20100247,,,
73,302.3491,30.5501,60.63,16.4277654,366.961845,7,4.1966462,,,
73.1,302.6413,30.8335,60.8361,16.7578809,368.608978,6,4.16830005,,,
73,302.366,30.5216,61.1347,16.5473674,367.588893,6,4.18429178,,,
72.8,302.4382,30.5588,61.2496,16.6212173,367.859761,6,4.17755219,,,
73.1,302.3998,30.5006,61.2297,16.5637948,367.496299,6,4.18234627,,,
72.6,302.4755,30.5643,61.2102,16.6218152,367.72088,5,4.17757632,,,
72.4,302.5848,30.6678,61.4571,16.7908905,368.621596,5,4.16259066,,,
72.2,302.487,30.569,61.32,16.6579461,367.914398,5,4.17409165,,,
72.5,302.7033,30.7842,61.3209,16.8666638,368.916493,5,4.15700245,,,
72.6,302.159,30.2259,61.4118,16.3579256,366.455715,5,4.19875172,,,
72.9,302.358,30.42,61.47,16.5596018,367.432437,4,4.18154329,,,
73.1,302.4532,30.5101,61.7934,16.7356781,368.404038,4,4.16559078,,,
73.1,302.4728,30.5197,62.1115,16.8338881,368.983544,4.1,4.15618963,,,
70.1,302.465,30.51,61.83,16.7479304,368.432508,6,4.16439405,,,
59.1,302.0596,30.1436,62.1725,16.4805647,367.451575,10.1,4.18521552,,,
49.7,301.7472,29.7828,61.2913,15.9170638,364.157441,16.2,4.23726754,,,
35.1,300.4145,28.3646,60.0714,14.3724299,355.887515,22.1,4.3884956,,,
14.8,300.9447,28.8006,59.2303,14.5520637,356.014752,28.2,4.37388633,,,
,301.037,28.82,58.57,14.417099,354.801441,35,4.39023972,,,
,301.0842,28.7995,58.6637,14.4346023,354.665459,40.1,4.38782718,,,
,301.106,28.7555,58.0261,14.250651,353.260042,45.1,4.40931221,,,
,301.34,28.94,56.8897,14.1287101,351.989623,50,4.42710846,,,
,301.3891,28.9476,55.2305,13.7260143,349.18408,55,4.47774499,,,
,301.2194,28.7301,54.3103,13.3326319,346.740365,59.2,4.52561168,,,
,301.603,29.07,53.6499,13.440003,346.771814,66,4.51677474,,,
,301.6721,29.0912,53.1301,13.332524,345.853126,72.2,4.53132604,,,
,301.7497,29.1201,52.6315,13.236342,344.987478,77.1,4.54463465,-0.0712791457,-1.91811679,8.24646249
,301.8166,29.1316,51.7735,13.0359367,343.450089,83.1,4.57199668,-0.0671259657,-2.28051369,8.82520851
,301.9512,29.2187,50.4488,12.7715411,341.419722,88.2,4.61009007,-0.0663282892,-2.41006375,9.046057
,302.2028,29.4308,49.1514,12.6007776,339.859436,94.1,4.6377074,-0.0641191802,-2.45298821,9.06600865
,302.305,29.484,46.7386,12.0216407,335.842205,101.2,4.72407512,-0.0778665703,-2.47998501,8.61931757
,302.7059,29.836,44.2419,11.6162234,332.548019,107,4.7927909,-0.0899625899,-2.06078863,7.66831809
,303.0539,30.1399,44.34,11.8546204,333.506757,109,4.76022673,-0.0942765384,-1.39999138,6.80773855
,302.8293,29.8604,44.0641,11.5989505,332.022528,113.1,4.79593199,-0.140206781,-1.3933516,6.34593411
,302.895,29.88,43.77,11.5402132,331.441746,119,4.8056352,-0.153620685,-1.38196461,6.19779588
,303.091,30.0297,43.0492,11.4537442,330.505603,126.1,4.82197165,-0.149790677,-1.24372918,6.21742279
,303.092,30.0044,41.9679,11.1512657,328.488722,132.7,4.87135603,-0.16320832,-1.16934898,6.29379259
,303.0958,29.9804,40.9003,10.854155,326.501295,139.3,4.92153193,-0.176471622,-1.09288991,6.373173
,303.1668,29.99,40.1722,10.6732186,325.09191,146.1,4.95331915,-0.179000101,-1.00800815,6.54655033
,303.2465,29.9896,40.387,10.7403608,325.225237,152.3,4.94149863,-0.166527993,-0.988303124,6.91553748
,303.305,29.9763,40.5637,10.7883953,325.281072,159.1,4.93288696,-0.167527934,-1.04783674,7.05046073
,303.0298,29.6378,40.9182,10.680057,324.787044,167.2,4.94641328,-0.226797072,-0.944953524,6.86012411
,303.2661,29.8257,41.1225,10.8572814,325.499425,172.2,4.9184921,-0.21598018,-0.967042849,6.72694606
,303.12,29.61,41.25,10.7646725,324.924393,180,4.93110505,-0.270377319,-1.05635292,6.51491508
,303.173,29.6085,42.1047,10.995253,326.20245,189,4.89130746,-0.291983451,-1.17643942,6.33244778
,303.0752,29.4596,44.4948,11.5307215,329.645022,193.2,4.80040308,-0.29799971,-1.35032451,6.38262445
,303.1301,29.45,44.8574,11.6275874,330.034317,197.1,4.78478794,-0.293869229,-1.46880862,6.45663905
,303.1867,29.4496,44.7284,11.6012848,329.650307,203.2,4.78896361,-0.296453961,-1.4624227,6.54121603
,303.2236,29.4335,44.6904,11.5876968,329.382257,209.1,4.79087008,-0.301570372,-1.42877693,6.61976505
,302.9778,29.1322,44.7159,11.4006042,328.368074,214.2,4.81615824,-0.347819485,-1.50824669,6.71787124
,303.3402,29.4312,44.8466,11.643114,329.285507,220.1,4.78202291,-0.294935896,-1.57762048,6.83211938
,303.4439,29.4869,44.171,11.509937,328.179886,226.2,4.80418077,-0.291007442,-1.67151968,6.90280285
,303.4209,29.4128,43.2015,11.2140013,326.189692,231.1,4.85135974,-0.311331913,-1.7526819,6.94237497
,303.6145,29.5504,42.75,11.1922386,325.658831,236.2,4.85719834,-0.297807493,-1.80927134,6.93518035
,303.6727,29.5547,41.7533,10.9391878,323.833252,242.1,4.90001411,-0.317785973,-1.85613605,6.85246228
,303.4794,29.313,40.9323,10.5793858,321.663933,249.3,4.95901551,-0.379800192,-1.8809226,6.81313101
,303.8495,29.6243,40.4905,10.6622072,321.580236,256.1,4.94934751,-0.340892897,-1.81878238,6.7798831
,303.628,29.34,40.0198,10.3728585,319.861028,262,4.99675255,-0.408948397,-1.73607172,6.78130186
,303.6874,29.3399,39.2092,10.1685531,318.333287,268.1,5.0345412,-0.430133854,-1.63003572,6.76632778
,303.7287,29.33,39.13,10.1479575,318.030428,274.2,5.03824028,-0.443572002,-1.56875383,6.77155981
,303.7853,29.3297,39.1322,10.1551966,317.864023,280.1,5.03687759,-0.449099571,-1.58976938,6.79695649
,303.8061,29.2915,39.3568,10.1981948,317.970244,287.1,5.02821532,-0.460140575,-1.655627,6.82711683
,303.5805,29.0099,39.5807,10.0967506,317.469956,292,5.04266913,-0.501132663,-1.78336041,6.96718113
,303.6265,28.9997,39.6538,10.1160286,317.402505,296.1,5.03886846,-0.484772646,-2.0393842,7.08440333
,303.6774,28.9899,39.7796,10.1498046,317.404193,301.1,5.03236088,-0.48457287,-2.09714205,7.13863147
,303.7183,28.98,39.7374,10.1390496,317.164031,306.1,5.03421833,-0.491009392,-2.12091864,7.16101923
,303.7624,28.9799,39.647,10.121073,316.884932,311.1,5.03759645,-0.506244824,-2.09829255,7.11681926
,303.8048,28.97,39.3559,10.0465976,316.232881,316.1,5.051514,-0.523327896,-2.0560658,7.09551071
,303.8633,28.9697,39.5523,10.1037065,316.383687,321.1,5.04070226,-0.54257876,-1.99043228,7.022155
,303.8971,28.94,39.7836,10.1531054,316.502707,327.2,5.03092966,-0.575801702,-1.90300184,6.92135386
,303.9229,28.9304,39.9017,10.1819259,316.568685,333.2,5.02537894,-0.596189756,-1.86505402,6.87563628
,303.6521,28.6101,39.96,10.0142351,315.718788,339,5.05180478,-0.656830634,-1.96820628,6.98811592
,303.7835,28.6784,40.6045,10.2248573,316.742685,345.1,5.01327562,-0.638848417,-2.01624323,7.01645234
,303.757,28.6,40.83,10.2412802,316.755138,349,5.00894928,-0.65840031,-2.03730699,7.0307738
,303.7812,28.5768,40.892,10.2487453,316.656871,353.2,5.00718719,-0.675610788,-2.01246633,7.01160662
,303.7246,28.4711,40.9591,10.2083762,316.352636,359.1,5.01296575,-0.74709914,-1.90078545,6.86024084
,303.8845,28.5788,40.8765,10.2580829,316.343915,366.2,5.00548992,-0.762432703,-1.7073013,6.7761249
,303.8985,28.5369,41.091,10.2938457,316.416173,373.1,4.99820011,-0.801040334,-1.61925878,6.72747093
,303.6609,28.2388,41.201,10.1504672,315.659296,380.2,5.01999939,-0.909978632,-1.52902157,6.70671175
,303.6893,28.1997,41.5667,10.2258427,315.937586,386.1,5.00529352,-0.941345967,-1.37796702,6.69945542
,303.7165,28.1706,42.1959,10.3706877,316.688825,392.1,4.97813292,-0.964644689,-1.29059479,6.68750506
,303.8005,28.1899,42.0593,10.3564157,316.336172,397.1,4.98105669,-0.96407839,-1.26880513,6.72139134
,303.8499,28.1815,41.9812,10.3389385,316.024551,402.1,4.98412127,-0.976612627,-1.27320251,6.73063558
,303.9477,28.2302,41.6837,10.3003954,315.539968,406,4.9919981,-0.974470514,-1.35769562,6.71430582
,304.0167,28.2491,41.0709,10.1650606,314.481249,410.1,5.01743379,-0.980931805,-1.38080853,6.72796693
,304.0412,28.2198,41.104,10.1621949,314.305477,414.1,5.01749238,-1.01616251,-1.40052506,6.66412362
,304.0643,28.2,41.4835,10.2498273,314.728651,419.1,5.00084803,-1.039918,-1.48832424,6.60980946
,304.1064,28.1999,41.6,10.2839645,314.785281,424.1,4.9945338,-1.10092471,-1.48964894,6.44837323
,304.1486,28.1901,41.6,10.2841548,314.613591,429.9,4.99433896,-1.18483097,-1.42304013,6.27250304
,304.0878,28.0883,41.5528,10.216437,314.158296,436.1,5.0052257,-1.29804326,-1.33278891,6.14543657
,303.9762,27.9206,40.839,9.94826009,312.46689,442.2,5.05316852,-1.47370713,-1.1538242,6.00719391
,304.048,27.9403,40.4727,9.87585387,311.797586,448.1,5.06745367,-1.53987049,-0.93863742,5.94546252
,304.146,27.9712,39.7613,9.72632634,310.576818,453.1,5.0971832,-1.60400919,-0.73653898,5.88206548
,304.2477,28.0102,39.1298,9.59985742,309.506057,458.1,5.1229564,-1.65349879,-0.480699401,5.8392473
,304.3222,28.0298,38.0906,9.36004996,307.778246,463.9,5.17202109,-1.74314274,-0.330070431,5.75153671
,304.3666,28.02,37.9698,9.33077727,307.411082,469.1,5.17790998,-1.85344912,-0.241125225,5.62403336
,304.4254,28.0168,37.9474,9.33011404,307.193876,474.1,5.17799485,-1.93015355,-0.290499696,5.54028919
,304.3716,27.9065,37.8598,9.25358182,306.677032,479.1,5.19210805,-2.06363885,-0.485659893,5.45763384
,304.2493,27.7318,37.8501,9.1625855,306.124484,483.9,5.2083708,-2.21488617,-0.697526182,5.39549899
,304.3115,27.7299,37.6805,9.12705892,305.677116,491.1,5.21586735,-2.30357899,-0.87522861,5.3079253
,304.3596,27.72,37.73,9.14001968,305.563904,498.2,5.21295466,-2.37926349,-0.896173561,5.26040905
,304.4174,27.7227,37.7305,9.14743251,305.413201,504,5.21142807,-2.52351498,-0.809658608,5.14569081
,304.7596,27.9973,37.7795,9.31495605,305.910227,509,5.18081666,-2.45564605,-0.723501964,5.05953218
,304.5095,27.6871,37.9338,9.19126727,305.285991,513,5.20158414,-2.76209795,-0.680043168,4.99340581
,304.2467,27.3832,38.3259,9.12710029,305.090382,516,5.21016376,-3.04347063,-0.720780229,4.93817437
,304.5724,27.66,38.4388,9.30926988,305.740613,520,5.17646435,-2.84810896,-0.812500861,4.93313719
,304.6106,27.66,38.3113,9.28240948,305.43485,524,5.18204905,-2.91897714,-1.00389681,4.8577525
,304.6379,27.6502,38.3869,9.29948236,305.42289,529.1,5.17833634,-3.05266679,-1.11853866,4.74792372
,304.686,27.66,38.2301,9.27071013,305.096651,534,5.18448738,-3.21853935,-1.20233056,4.61598324
,304.7296,27.6573,38.3598,9.30575767,305.159883,539,5.17714922,-3.52388578,-1.16090564,4.42825773
,304.4836,27.373,38.3402,9.15126666,304.384825,543.9,5.20487235,-4.20395621,-1.02949572,4.23897716
,304.511,27.36,38.29,9.13655319,304.164832,549,5.20777641,-4.70431676,-0.831002262,4.06605033
,304.2749,27.065,38.4419,9.02142285,303.577437,556.1,5.22752074,-5.431304,-0.629312854,3.96942393
,304.5729,27.3174,38.539,9.18447734,304.146749,561.9,5.19694268,-5.29891809,-0.374174485,3.95282983
