O3,Theta_K,Temp,RH,q,N,Alt,malr,Ri,u,v
54.5,305.673,33.41,30.69,9.79031687,318.446093,61,5.17289312,-0.232869841,-0.149891108,2.51553824
54.6,305.6355,33.3607,30.8478,9.81494485,318.623324,61,5.16727614,-0.184326129,-0.00239586468,2.91449902
54.7,306.0788,33.8009,30.8241,10.0536684,319.576816,61,5.12832683,-0.0824238142,-3.35957356e-16,2.7433
54.6,306.1077,33.8346,30.9486,10.1131379,319.928092,62,5.11759973,-0.109271879,-0.00305355275,2.22589791
54.7,306.3628,34.0858,30.8686,10.2304608,320.3415,61,5.09962776,0,-0.154482146,1.99402489
57.1,305.3194,33.0306,30.5235,9.53349626,317.190331,65,5.21792324,-0.61596599,-0.154482146,1.99402489
57.6,304.4968,32.183,30.5615,9.10058719,315.376314,71.2,5.29411895,-0.950324107,-0.156075449,2.24448
56.8,304.1461,31.7892,31.068,9.05165439,315.394458,75.1,5.29820283,-0.81672935,-0.127793118,2.71639564
56.1,304.1432,31.7548,31.3559,9.12147633,315.770365,79.1,5.28273029,-0.68961518,-3.73517274e-16,3.05
56.2,303.8,31.38,31.78,9.05317851,315.678404,84,5.29123529,-0.844025532,-3.73517274e-16,3.05
56.3,303.8002,31.3455,32.1132,9.13425043,316.118365,89.2,5.27337372,-1.0083086,0.125419371,2.88227254
56,303.5331,31.0413,32.0041,8.94974251,315.170193,93.1,5.3080624,-1.26592358,-0.0032285355,2.77749812
56.4,303.6325,31.0837,33.0564,9.27425362,317.005608,97.1,5.23965284,-1.35325632,-0.0994089344,2.69816935
57.3,303.8821,31.2899,33.4113,9.49050082,317.98199,102,5.1984724,-1.31247805,-0.0989458195,2.69698557
57.1,303.9096,31.2672,33.7443,9.57875612,318.394876,107.2,5.18026651,-1.70665021,0.00473078316,2.42879539
56.9,303.9066,31.2212,34.1505,9.67409738,318.907331,111.4,5.16046422,-1.3811969,0.100510913,2.76347275
57.3,304.0056,31.2403,33.9388,9.63315552,318.328516,120.1,5.16893024,-1.15781716,0.19468603,3.1239394
57.6,303.7365,30.9251,34.122,9.51722092,317.808772,125.4,5.18713051,-1.08634644,0.267398983,3.4745257
57.3,303.8472,30.9894,32.721,9.16293535,315.279037,130.4,5.26150892,-0.947742088,0.257673119,3.79716728
57.7,303.8846,30.98,32.26,9.03315591,314.286395,136.2,5.28903575,-0.952161313,0.081901606,3.89954001
58.1,303.9414,30.98,32.26,9.03904688,314.120545,140.9,5.28776954,-0.980012516,-0.401955857,3.88898259
57.7,303.9908,30.9762,32.4,9.08216342,314.207791,146.3,5.27846871,-1.02373327,-0.419247478,3.87277326
57.9,303.9626,30.9123,33.0871,9.24574296,315.207999,150.3,5.24282704,-1.18394242,-0.454064899,3.66165416
58.9,303.7546,30.6533,34.3865,9.47474469,316.813651,154.3,5.19133867,-1.68433028,-0.343189616,3.21523609
59.3,303.8663,30.7184,34.5169,9.55170137,317.055798,159.9,5.17680481,-1.8530769,-0.0944609092,3.10166193
59.1,304.0329,30.8378,35.2728,9.83461352,318.549476,165.1,5.12265579,-1.66576301,0.00494631773,3.24259623
59.2,303.9827,30.7383,36.304,10.0718985,320.016728,170,5.07544355,-1.26110688,0.267772708,3.8032853
60.2,303.82,30.5213,36.807,10.0921052,320.219427,176,5.06810215,-1.172699,0.267102049,4.13939132
59.5,303.968,30.618,36.3395,10.0246684,319.475633,180.9,5.08246714,-1.39753719,0.267100247,3.79751828
59,303.7891,30.3856,37.3292,10.1689262,320.495841,186.1,5.05144847,-1.6857844,0.38505199,3.59654659
59.4,303.7037,30.2518,37.6057,10.1717783,320.504306,190.1,5.04874487,-2.25374825,-3.9409134e-16,3.218
59.5,303.8522,30.35,37.3701,10.1708798,320.190368,196,5.05050546,-2.42352379,0.00145497762,3.11059966
58.9,303.9104,30.35,37.3997,10.1857774,320.073531,201,5.04771838,-2.26316281,0.381476327,3.23609302
58.5,303.9588,30.3486,37.6089,10.2482907,320.288638,204.1,5.03605351,-2.00823321,0.673928997,3.415038
58.4,303.955,30.3124,36.2087,9.84758844,317.652389,207.1,5.11160035,-1.55006791,1.16224926,3.87985782
59.7,304.0921,30.4198,35.7014,9.77230401,316.931003,210,5.1280587,-1.52904966,1.12036101,3.89850752
