O3,Theta_K,Temp,RH,q,N,Alt,malr,Ri,u,v
83.6,299.95,28.18,66.03,15.5901916,365.34681,7,4.24736392,,,
84.3,300.303,28.53,65.8,15.858498,366.547484,7,4.2242603,,,
85.1,300.2355,28.4704,65.8,15.8017802,366.300439,7,4.22931153,,,
85.2,299.997,28.23,65.55,15.5206919,364.825772,7,4.25561644,,,
85.5,300.547,28.78,67.33,16.4692911,370.182582,7,4.16567321,0,-0.042864869,0.0553407897
85,301.2522,29.4892,67.7639,17.277164,374.326901,7,4.09862852,37.1934811,-0.0443970636,0.0574426735
85.3,301.1755,29.4138,67.1715,17.0491767,372.969378,7,4.11891648,1.55444002,-0.173984684,0.280173821
85.6,301.5245,29.7898,68.3089,17.7192296,376.835333,6,4.06270549,2.49303842,-0.190849322,0.247073625
85.3,301.4863,29.7774,68.1991,17.6722498,376.664878,6,4.06674793,0.844832199,-0.26632643,0.460190311
84.8,302.1897,30.487,68.092,18.3848875,380.13295,6,4.01479449,0.808998651,-0.255968776,0.658392699
85.1,301.5222,29.8363,67.1839,17.4615571,375.294913,6,4.08678764,0.2287537,-0.43555438,0.933045804
85.2,300.8339,29.1539,65.8878,16.452589,369.844484,6,4.17300841,0.0315854837,-0.759777072,1.30805202
85.9,300.2262,28.5498,65.6675,15.8265462,366.721239,6,4.22791937,-0.0215582472,-0.89503718,1.54091935
86.2,300.248,28.53,65.42,15.7558614,366.107333,6,4.23507441,-0.0191073557,-0.994485756,1.71213261
86.1,299.998,28.27,65.5,15.5382628,365.040907,6,4.25433466,-0.0231840234,-1.18509625,2.0869947
86.3,300.068,28.32,65.55,15.5996582,365.281166,6,4.24849836,-0.0158414836,-1.14826034,2.52079317
88.1,300.567,28.815,65.8371,16.1308182,367.970644,9,4.20038116,-0.000961703723,-1.22623426,2.69197049
88,299.9486,28.2123,64.6638,15.2873879,363.44892,11.9,4.28081297,-0.0279876745,-1.15838982,3.0933158
88.4,299.4381,27.6866,64.2632,14.7316615,360.525632,17.1,4.33553531,-0.0717661545,-1.1561143,3.10644055
88.6,299.2931,27.5179,65.3994,14.8498734,361.473553,23.1,4.31927954,-0.0937049025,-1.12683055,3.35702876
88.1,299.101,27.3034,64.3493,14.4291574,358.920466,29.1,4.36514106,-0.131696792,-0.828510144,3.55749747
87.7,298.502,26.64,64.28,13.8681255,355.934381,35,4.42342528,-0.194298156,-0.889139476,3.81783067
86.4,298.8169,26.8974,64.884,14.2247091,357.676556,40.9,4.38339948,-0.193181172,-0.780967168,3.90201418
85.7,299.0239,27.0568,63.9882,14.1678721,356.854796,44.9,4.392824,-0.200294904,-0.636031775,3.9089937
86.5,298.8115,26.7978,62.6998,13.6761967,353.788994,49.1,4.45027009,-0.254342685,-0.633577171,3.91182359
87.1,299.2357,27.1846,60.6365,13.534984,352.119762,53.1,4.47460154,-0.220313028,-0.656678416,4.04443571
86.7,299.5251,27.4147,55.9752,12.6664544,345.787102,57,4.59622741,-0.243748569,-0.713029201,3.90706999
85,300.038,27.88,52.49,12.2087888,341.906488,61,4.67021426,-0.197201283,-0.829745703,4.04579066
83.7,300.351,28.15,52.21,12.3435745,342.238865,66,4.65459735,-0.19776425,-0.560294852,3.85954268
82.9,300.105,27.88,52.25,12.1621221,341.331893,70,4.6771827,-0.252478741,-0.43083853,3.89625181
81.6,300.2332,27.9897,52.0707,12.2012213,341.35798,74,4.6730996,-0.232665389,-0.442971947,4.02811639
