O3,Theta_K,Temp,RH,q,N,Alt,malr,Ri,u,v
47.9,304.673,32.18,45.21,13.5240414,343.012526,57,4.55457862,,,
47.5,304.4524,31.9643,45.7786,13.5273958,343.358385,57,4.5507632,,,
47.6,304.8441,32.35,44.9001,13.5614186,343.004537,,4.55234758,,-0.00335446721,-0.211373384
47.6,304.8489,32.3499,45.3956,13.7130697,343.949888,57,4.53268411,0.850970692,-0.201440218,-0.195197563
47.6,304.838,32.34,44.96,13.5726172,343.072912,58,4.55072937,0,-0.229527108,-0.237101891
47.5,304.7014,32.2113,45.0392,13.4961567,342.800905,57,4.55872801,-2.40715728,-0.229527108,-0.237101891
,304.8578,32.3668,44.9224,13.5807718,343.114339,58,4.55008485,12.3825194,-0.00099469169,-0.0652924237
47.4,304.8764,32.3855,45.4082,13.7433329,344.126344,58,4.52935035,38.1283536,0,-0.0617
47.4,305.1604,32.6704,46.3597,14.262801,347.023302,58,4.46873499,37.7152844,-0.000496780895,-0.150999183
47.4,305.204,32.71,46.33,14.2863711,347.098951,59,4.46647201,14.187477,-0.0937709263,-0.242394355
47.6,305.1815,32.6806,47.5543,14.6439773,349.383347,59,4.42314206,9.55437003,-0.00249935511,-0.328590495
48.1,305.2021,32.7031,46.152,14.2262914,346.706789,60,4.47371039,8.68255477,-0.0313128163,-0.327406044
48,304.8364,32.3404,45.7304,13.8070382,344.575295,60,4.52049685,1.18665555,0.248624493,-0.10554559
48.2,304.5541,32.0532,45.1069,13.3970344,342.35006,60,4.56934043,-6.04198472,0.319496868,-0.00141470953
48,304.7654,32.2654,44.9433,13.5103415,342.774388,60,4.55771173,-1.62613285,0.32,5.87830464e-17
47.7,304.8776,32.3817,45.5771,13.7927285,344.425652,61,4.52296718,0.766144882,0.446716921,0.118238752
47.6,305.4822,32.9883,45.9464,14.3923473,347.371789,61,4.45792148,4.80779018,0.481190819,0.310180022
48.8,305.2624,32.7704,45.5009,14.0763965,345.686696,65,4.49326448,1.42040871,0.781232359,0.403757801
50.4,304.4793,31.997,44.365,13.1298949,340.797696,71.8,4.60437152,-0.8992076,0.756207081,0.723114473
49.3,303.7679,31.2517,44.0453,12.4956903,337.639846,79,4.68177415,-2.95909326,0.75759312,0.730478216
49.1,304.0081,31.4674,44.7021,12.8448364,339.484108,83,4.63540421,-1.48524255,1.18370942,0.641789891
