O3,Theta_K,Temp,RH,q,N,Alt,malr,Ri,u,v
49.7,294.887,23.38,65.47,11.5632567,346.685197,6,4.69678851,0.0458335366,-4.07807384e-16,3.33
49.9,294.6433,23.1373,65.305,11.3646588,345.67719,6,4.72472565,0.0420078551,-4.01867847e-16,3.2815
50,294.5219,23.0124,65.398,11.295035,345.367222,6,4.73403197,0.0364820652,-0.143505178,3.40928109
50.2,294.4042,22.8912,65.499,11.2296508,345.080496,6,4.74278531,0.0316160571,-0.302808121,3.53565683
50.7,294.138,22.62,66.5,11.2157543,345.355571,5,4.74063387,0.0207866641,-0.191579832,3.70505022
52.6,294.03,22.51,66.92,11.2115255,345.480471,9,4.73952868,0.0337152777,-0.153675764,3.77687487
52.9,293.916,22.39,66.15,11.0013401,344.17713,15,4.7726712,0.0490715074,-0.129325381,3.83782164
53,293.5752,22.0308,65.6063,10.6748391,342.360956,21.8,4.8229892,0.0541617768,0.123455613,3.71174745
52.5,293.2799,21.7033,66.0453,10.5364686,341.739436,27.9,4.84205306,0.0476241535,0.223830839,3.62389409
52.1,293.0734,21.4579,66.5528,10.4634545,341.423714,34.1,4.8510641,0.0359440768,0.223778153,3.6211922
51.2,292.9118,21.2463,65.8316,10.2211144,339.838291,39.8,4.89175468,0.0180270242,0.128986579,3.43337794
51.8,292.9842,21.2697,68.3934,10.6429953,342.540342,45.9,4.81601071,0.0381871612,0.00121279436,3.23199977
52,293.007,21.24,69.39,10.78625,343.358233,52,4.7905156,0.0466784471,-0.0954421104,3.08852567
51.5,293.0963,21.2691,69.7007,10.8622018,343.59716,56.9,4.77790693,0.0534007046,-0.21576835,3.25766221
52.4,293.0772,21.2007,69.4724,10.7870602,342.973866,63.9,4.78972619,0.0406625804,-0.28914993,3.36650524
53,292.984,21.06,69.01,10.6280365,341.877733,72,4.81517602,0.00960527261,-0.430099069,3.4432419
53.2,293.152,21.1765,69.5051,10.7888838,342.615487,76.9,4.78901086,0.0360903726,-0.597786618,3.66425879
52.6,293.136,21.1084,70.5008,10.90543,343.303254,81,4.76785672,0.0257277906,-0.697051842,3.86789229
53,293.033,20.9516,71.5792,10.9734512,343.781262,85,4.75370447,0.000487648367,-0.536329393,3.91321745
54.4,293.065,20.94,71.91,11.0223975,343.956933,90,4.74524768,0,-0.415882488,4.15925976
54.6,293.089,20.92,71.64,10.9729317,343.462991,96,4.7532711,-0.00500104055,-0.415341458,4.28994073
54.1,293.1191,20.9103,71.7274,10.9850582,343.397813,100.9,4.75105892,-0.00627001962,-0.371293004,4.41090056
53.9,293.1477,20.8902,72.0368,11.0254029,343.50863,105,4.74392048,-0.00932411143,-0.209412679,4.29619925
53.9,293.147,20.85,72.38,11.0560203,343.614671,111,4.73811302,-0.0158250038,0.10359679,4.42878851
