O3,Theta_K,Temp,RH,q,N,Alt,malr,Ri,u,v
57.9,299.143,27.17,54.22,12.0707311,342.742515,58,4.67952739,43.9349172,0.13,2.38806126e-17
58,298.929,26.9538,54.1991,11.9129264,341.994369,58,4.70008035,17.097326,0.124047894,0.028141783
58.2,298.8052,26.8263,54.1709,11.8177531,341.522987,58,4.712714,0.228786968,-0.00089565458,-0.0722944521
58.1,298.6981,26.7222,53.9128,11.6881626,340.822147,58,4.73127598,-12.3449481,-0.05055909,-0.130551823
58.2,298.8023,26.8303,54.0497,11.7928617,341.381906,58,4.71664482,0,-0.05055909,-0.130551823
58.2,298.8312,26.8559,54.023,11.8053429,341.415672,57,4.71511777,2.80572082,-0.0511739006,-0.126220727
58.2,298.5892,26.6084,54.246,11.6825329,340.923603,57,4.73032312,-100.059241,-0.0452222768,-0.0497069983
58.3,298.5403,26.5636,54.1561,11.6315043,340.662589,57,4.73765155,-96011.8148,-0.00120183872,0.0020773983
58.4,298.2987,26.3326,54.3816,11.5195619,340.284437,57,4.75173388,-118.19976,-0.0566451987,0.0737585349
58.5,298.4781,26.5038,54.5042,11.6648665,340.982353,57.1,4.73141521,-6.6763797,-0.110979424,0.292664599
58.4,298.2293,26.2495,54.5654,11.5036383,340.2402,58,4.75294006,-9.35845312,-0.085534451,0.348249649
58.3,298.214,26.2403,54.4636,11.4749491,340.084619,57,4.75740057,-11.0485609,-0.00483548197,0.330864667
58.4,298.215,26.2496,54.2684,11.4386115,339.865456,57,4.76341075,-9.36010163,-0.158462306,0.321911692
58.7,298.2476,26.2798,54.2899,11.4641954,339.981114,56.9,4.75977238,-8.45270187,-0.168278522,0.326033663
58.5,297.9477,25.9827,54.1413,11.2316809,338.853839,56,4.79289414,-7.91965975,-0.215152506,0.416850344
58.9,298.1688,26.2048,54.1498,11.3829589,339.558759,56,4.77170369,-2.98827339,-0.238280857,0.610872101
58.9,298.2383,26.2685,54.1113,11.4187726,339.68633,57.1,4.7669262,-2.5208365,-0.245031948,0.638389994
58.9,298.561,26.5961,54.1606,11.653305,340.809686,59,4.73473124,-0.724032913,-0.206349736,0.806624167
59,299.0239,27.0594,54.2128,11.9893,342.390941,59.2,4.6900998,0.456299527,-0.0859894245,1.05821203
59.5,298.8724,26.8828,54.2593,11.8783737,341.803477,62,4.70425194,0.0683843137,-0.00181953038,1.42419884
60.3,298.0209,26.0143,53.9554,11.2195115,338.561448,67.2,4.79542071,-0.861443787,0.235942738,1.51564515
60.4,297.858,25.8345,54.1271,11.137703,338.195103,73.1,4.80609755,-0.69456149,0.351754705,1.92909239
60.1,297.583,25.5298,54.5219,11.0208439,337.721516,81,4.82077642,-0.94662975,0.368349224,1.97565507
