O3,Theta_K,Temp,RH,q,N,Alt,malr,Ri,u,v
12.4,291.56,19.28,91.1,12.5309818,356.993443,52,4.48447169,-80.7337656,-0.03,-0.1
12.7,291.42,19.11,90.56,12.3359243,355.697958,55,4.50975437,-1.87815314,-0.69,0.42
13,291.49,19.15,90.3,12.3261694,355.487186,59,4.51182442,-1.10923502,-0.88,0.59
13,291.76,19.37,89.75,12.4334627,355.673854,64,4.49988874,-0.592246283,-0.97,0.69
13.2,292.18,19.74,88.46,12.5504834,355.697343,69,4.48917006,0,-0.99,0.75
13.3,292.76,20.26,86.35,12.6577279,355.452718,75,4.48243778,0.801972962,-1.01,0.81
13.5,293.45,20.9,83.77,12.7844415,355.134246,80,4.47507364,1.79476902,-1.02,0.87
14,294.06,21.46,81.22,12.8331688,354.437358,85,4.47735259,2.53710921,-1.04,0.95
14.9,294.45,21.8,78.98,12.7454562,353.123699,91,4.4950283,2.99661342,-1.05,1.02
15.7,294.71,22.01,77.02,12.5992338,351.565762,96,4.51900276,3.17161235,-1.06,1.09
16.6,295,22.25,75.18,12.4919765,350.236388,101,4.53818672,3.43004625,-1.06,1.16
17.6,295.3,22.52,73.54,12.4237097,349.230474,105,4.55238745,3.7402173,-1.05,1.22
18.9,295.56,22.75,72.16,12.3651878,348.357342,109,4.56459799,3.99072205,-1.03,1.29
20.1,295.77,22.91,71.02,12.2969036,347.490695,112,4.57716348,4.10239558,-1.01,1.35
21.1,295.93,23.04,69.97,12.2188528,346.60562,116,4.59076316,4.25385072,-0.98,1.41
22.3,296.08,23.16,68.82,12.1017535,345.545103,119,4.61013737,4.34366138,-0.94,1.47
23.4,296.24,23.28,67.54,11.9748646,344.296404,123,4.63122283,4.51586015,-0.91,1.52
24.5,296.38,23.38,66.33,11.8381786,343.041914,128,4.65376214,4.69513581,-0.86,1.56
25.3,296.48,23.43,65.37,11.7014548,341.909993,132,4.67581168,4.82211214,-0.81,1.6
26.3,296.54,23.46,64.64,11.6037717,340.994977,136,4.6916692,4.93021778,-0.76,1.64
27.3,296.59,23.46,64.12,11.5158405,340.245546,140,4.70564629,5.05209612,-0.7,1.67
28.2,296.61,23.46,63.76,11.4474387,339.697326,144,4.71661349,5.17793927,-0.63,1.7
29.2,296.63,23.44,63.5,11.3985744,339.21116,147,4.72417277,5.1848362,-0.57,1.73
30,296.65,23.43,63.29,11.3594796,338.819503,150,4.73034949,5.26460099,-0.5,1.75
30.8,296.67,23.42,63.08,11.3106067,338.420284,154,4.73815077,5.37545287,-0.43,1.77
31.7,296.69,23.39,62.86,11.2617289,337.931396,158,4.74566933,5.45284406,-0.36,1.78
32.3,296.71,23.37,62.62,11.2128463,337.44341,163,4.75339584,5.57767341,-0.29,1.79
32.9,296.74,23.35,62.35,11.1541808,336.927433,167,4.76279244,5.66261994,-0.21,1.8
33.7,296.77,23.35,62.04,11.1052876,336.426946,171,4.77094588,5.78273525,-0.14,1.81
34.3,296.82,23.36,61.71,11.0563896,335.933613,175,4.7793093,5.8552831,-0.07,1.83
35,296.87,23.36,61.32,10.9977055,335.322376,180,4.78921024,5.93811558,0.01,1.84
35.6,296.92,23.37,60.85,10.9194493,334.636796,184,4.8026809,5.99676237,0.08,1.85
36.1,296.98,23.38,60.33,10.8411807,333.894882,189,4.81627368,5.9568737,0.15,1.87
36.5,297.03,23.39,59.84,10.7628997,333.199392,193,4.82999026,5.94773116,0.22,1.89
