O3,Theta_K,Temp,RH,q,N,Alt,malr,Ri,u,v
71.8,305.7,33.5,41,13.05725255,339.9996205,52,4.637916911,2.249006614,-1,-0.02
71.8,305.44,33.2,40.8,12.78444148,338.504101,56,4.671215588,1.478341013,0.76,0.79
71.9,305.08,32.8,40.8,12.50172812,337.0902875,60,4.705405454,0.3605605653,1.31,1.08
71.9,304.73,32.4,40.9,12.25787971,335.8728761,65,4.73494563,0.04929316661,1.57,1.24
72,304.69,32.3,41.2,12.28714788,335.9638057,72,4.729007894,0,1.65,1.3
72,304.56,32.1,41.5,12.24812327,335.7365021,78,4.73164104,-0.1073421111,1.71,1.38
72.1,304.52,32,41.7,12.24812327,335.6273157,84,4.730054178,-0.1567623049,1.78,1.46
72.1,304.47,31.9,41.5,12.13103094,334.782868,90,4.746022226,-0.2155565705,1.85,1.53
72.2,304.42,31.8,41.2,11.97486464,333.7551503,95,4.768182161,-0.2523353747,2,1.66
72.2,304.27,31.6,40.8,11.73075593,332.2478353,100,4.802909555,-0.354719821,2.07,1.74
72.3,304.12,31.4,40.5,11.52561137,330.9469108,106,4.832346404,-0.4532539746,2.13,1.81
72.4,304.08,31.3,40.4,11.4376662,330.3185685,112,4.844956786,-0.4962970571,2.2,1.89
72.6,304.03,31.2,40.6,11.4376662,330.2428474,117,4.843354711,-0.5631102163,2.19,1.9
72.9,303.98,31.1,40.8,11.4376662,330.1649788,122,4.841752249,-0.5921950247,2.25,1.98
73.1,304.03,31.1,41,11.49629805,330.376265,127,4.832264686,-0.5726441394,2.32,2.06
73.8,303.98,31,41.2,11.49629805,330.3198994,132,4.83066268,-0.5999510372,2.38,2.14
74.2,304.03,31,41.3,11.52561137,330.3480607,137,4.825942384,-0.6203028679,2.37,2.15
74.5,303.97,30.9,41.5,11.52561137,330.2886462,142,4.82434042,-0.6464244471,2.43,2.23
75.1,304.02,30.9,41.7,11.58423279,330.5216995,146,4.814946446,-0.6598780798,2.42,2.24
75.5,304.06,30.9,41.9,11.64284726,330.7547529,151,4.805612997,-0.6382880316,2.49,2.32
75.7,304,30.8,42.1,11.64284726,330.6895581,155,4.804012384,-0.6982419646,2.47,2.33
75.8,304.05,30.8,42.3,11.70145478,330.8952235,160,4.794739759,-0.6755362506,2.54,2.4
75.9,304.01,30.7,42.4,11.67215189,330.622079,166,4.797768062,-0.7467760041,2.53,2.41
76.3,304.06,30.7,42.4,11.68191971,330.4688455,171,4.796223604,-0.7263461307,2.6,2.49
76.5,304.01,30.6,42.5,11.64284726,330.1954269,177,4.800810022,-0.7989047898,2.6,2.49
76.7,304.07,30.6,42.6,11.68191971,330.1942159,183,4.794622823,-0.8226505241,2.6,2.49
76.8,304.02,30.5,42.8,11.67215189,330.0963484,189,4.794565828,-0.8494553252,2.67,2.56
77.1,304.08,30.5,42.9,11.71122202,330.119738,194,4.7883991,-0.8685810628,2.68,2.55
77.2,304.03,30.4,43,11.68191971,329.8431032,199,4.791420131,-0.9402094312,2.68,2.55
77.3,304.07,30.4,43,11.68191971,329.7152824,204,4.791420131,-0.9137722167,2.77,2.61
77.4,304.03,30.3,43.1,11.65261566,329.4384109,209,4.794454794,-0.985197531,2.77,2.6
77.6,304.08,30.3,43.2,11.68191971,329.4599183,214,4.78981822,-1.006143655,2.78,2.59
