O3,Theta_K,Temp,RH,q,N,Alt,malr,Ri,u,v
19.6,293.64,21.4,91.5,14.3413336,366.59566,52,4.28286736,-Inf,0,0
20.8,293.68,21.4,89.3,14.0011832,364.053039,57,4.32402239,-1.2965331,0.26,1.78
21,293.82,21.5,88.7,14.0011832,363.704333,62,4.32560952,-0.901718097,0.33,2.17
21.1,295.58,23.2,87.6,15.3506829,370.048448,68,4.19629964,-0.0648930131,0.4,2.47
21.5,295.84,23.4,85.9,15.2440225,368.752812,74,4.21105542,0,0.43,2.56
22.2,295.99,23.5,84.5,15.0985394,367.351832,80,4.22868841,0.0265407335,0.47,2.66
23,296.24,23.7,83.2,15.0500355,366.520502,85,4.23721455,0.0883080632,0.53,2.85
24,296.48,23.9,82,15.0209308,365.816655,89,4.24359068,0.150058406,0.57,2.94
25,296.63,24,80.8,14.904495,364.608735,94,4.25828001,0.163115834,0.64,3.14
26.2,296.78,24.1,79.7,14.797738,363.540151,99,4.27200801,0.18566295,0.69,3.23
27.1,296.93,24.2,78.5,14.6715408,362.305761,104,4.28811392,0.194902898,0.76,3.42
28.2,297.07,24.3,77.5,14.574444,361.339952,108,4.30098876,0.213913036,0.82,3.51
29.1,297.22,24.4,76.5,14.4870405,360.336958,114,4.31282726,0.2245334,0.9,3.69
29.9,297.38,24.5,75.9,14.4676154,359.814622,119,4.31669058,0.247454111,0.97,3.78
30.6,297.44,24.5,75.5,14.3996215,359.114226,125,4.32475651,0.243842739,1.04,3.86
31.3,297.6,24.6,75.3,14.4579026,359.104126,132,4.31940845,0.273857208,1.11,3.95
31.9,297.65,24.6,75.2,14.4481895,358.817589,137,4.32055876,0.257964401,1.21,4.13
32.4,297.7,24.6,75,14.4190493,358.400888,143,4.32401619,0.255843074,1.29,4.21
33.2,297.75,24.6,74.8,14.3899074,357.984186,148,4.32748342,0.251845956,1.36,4.29
34.2,297.8,24.6,74.6,14.3607637,357.567485,153,4.3309605,0.259005121,1.4,4.28
35,297.86,24.6,74.3,14.312187,356.994557,159,4.33677761,0.255350423,1.47,4.36
35.7,297.92,24.6,74.2,14.3024711,356.681958,165,4.33794435,0.253385644,1.55,4.44
36.5,297.88,24.5,74.1,14.2053016,355.94589,172,4.34809876,0.224121437,1.65,4.51
37.2,297.95,24.5,74.1,14.2150194,355.737323,179,4.34692108,0.224263288,1.74,4.58
38.1,298.02,24.5,74.1,14.224737,355.528756,185,4.34574452,0.223042294,1.84,4.65
38.8,298.08,24.5,74.1,14.2344545,355.34626,192,4.34456908,0.222932238,1.94,4.72
39.4,298.04,24.4,74.2,14.1858654,354.871172,198,4.34888269,0.202468379,2.01,4.69
39.9,298.1,24.4,74.2,14.1955836,354.688614,204,4.34770296,0.201106457,2.12,4.75
40.3,298.15,24.4,74.3,14.224737,354.660925,210,4.34417052,0.200616963,2.21,4.82
40.9,298.1,24.3,74.4,14.1664284,354.211982,215,4.34967003,0.170851245,2.31,4.88
41.6,298.15,24.3,74.4,14.176147,354.055451,220,4.34848825,0.168957512,2.41,4.94
42.3,298.19,24.3,74.5,14.1955836,354.053115,225,4.34612807,0.167534456,2.5,5.01
