O3,Theta_K,Temp,RH,q,N,Alt,malr,Ri,u,v
83.5,303.89,28.8,58,14.603575,345.311458,331,4.36780422,-3.26486557,2.24,2.14
83.6,303.84,28.7,58.2,14.5841545,345.08175,336,4.36853544,-3.02753328,2.38,2.28
83.6,303.78,28.6,58.5,14.5841545,345.036891,341,4.36698031,-2.98941269,2.46,2.35
83.7,303.83,28.6,58.8,14.6618319,345.389521,345,4.3578644,-2.68526127,2.62,2.47
83.7,303.87,28.6,59,14.720082,345.581747,350,4.35107161,-2.56991184,2.71,2.51
83.8,303.81,28.5,59.1,14.6618319,345.236365,354,4.35631053,-2.42260819,2.9,2.61
83.8,303.85,28.5,59.2,14.7006661,345.267321,358,4.3517786,-2.32376314,3.01,2.63
83.8,303.9,28.5,59.3,14.7297896,345.298277,363,4.34839062,-2.23888111,3.14,2.64
83.9,303.83,28.4,59.4,14.6715408,344.951621,367,4.35362203,-2.23131386,3.27,2.63
83.9,303.88,28.4,59.5,14.7103741,344.981716,371,4.34909505,-2.05074018,3.49,2.68
84,303.81,28.3,59.6,14.6521229,344.634662,374,4.35433721,-2.04238865,3.64,2.65
84.3,303.84,28.3,59.7,14.6812494,344.715383,378,4.35093469,-1.97231635,3.79,2.61
84.5,303.87,28.3,59.7,14.6909578,344.612414,381,4.34980262,-1.90326384,3.94,2.56
84.6,303.81,28.2,59.8,14.6327043,344.264954,385,4.35505554,-1.98545484,4.01,2.45
84.7,303.84,28.2,60,14.6909578,344.476223,388,4.34824852,-1.91249989,4.17,2.39
84.7,303.78,28.1,60.1,14.6327043,344.127586,393,4.35350001,-1.9173071,4.31,2.32
84.9,303.82,28.1,60.2,14.6618319,344.155117,397,4.35009236,-1.85733204,4.47,2.25
84.9,303.87,28.1,60.3,14.7006661,344.182648,401,4.34556351,-1.87228621,4.52,2.13
85,303.8,28,60.4,14.6424137,343.832799,405,4.35080747,-1.87310888,4.67,2.05
85,303.85,28,60.4,14.6521229,343.70396,409,4.34967177,-1.89068763,4.72,1.94
85,303.88,28,60.5,14.6812494,343.756411,413,4.34627101,-1.90638815,4.76,1.82
85.1,303.82,27.9,60.7,14.6521229,343.560899,417,4.34811609,-1.90386139,4.9,1.75
85.1,303.86,27.9,60.8,14.6812494,343.586738,421,4.3447159,-1.91938875,4.93,1.66
85.2,303.9,27.9,60.9,14.7103741,343.638354,425,4.34132514,-1.93486413,4.96,1.56
85.1,303.84,27.8,61,14.6618319,343.260366,430,4.34542588,-2.01345075,4.98,1.49
85.1,303.88,27.8,61.1,14.6909578,343.311149,434,4.34202943,-2.0293619,5,1.43
85,303.82,27.7,61.2,14.6327043,342.932829,438,4.34727518,-2.10587347,5.01,1.38
