O3,Theta_K,Temp,RH,q,N,Alt,malr,Ri,u,v
81.5,307.58,35.67,52.2,18.693881556,374.04124665,52,4.0647053555,2.0924134378,-0.57,-1.17
81.6,306.28,34.34,50.48,16.793172612,363.88262348,55,4.2175419129,2.4164531108,-0.1,0.55
81.6,306.23,34.23,49.14,16.261202326,360.37605258,61,4.2691309925,0.35305082153,0.02,1.1
81.7,306.19,34.13,49.11,16.174097832,359.69361214,68,4.2765701274,0.11529738916,0.06,1.39
81.8,306.16,34.02,49.49,16.212812844,359.8147647,75,4.2709239774,0,0.05,1.52
81.9,306.12,33.91,49.7,16.193455719,359.57354091,83,4.2712529786,-0.11922526925,0.02,1.59
81.9,306.08,33.8,49.78,16.135379772,359.06923427,90,4.2755808092,-0.25095666947,-0.01,1.64
82,306.04,33.7,49.91,16.096658664,358.72207397,97,4.2780781969,-0.35424016246,-0.04,1.72
82.1,305.98,33.57,50.04,16.028889392,358.2438856,103,4.2831592821,-0.48717684277,-0.08,1.81
82.3,305.88,33.4,49.88,15.844897156,356.99854132,110,4.2999245768,-0.68617864085,-0.11,1.88
82.4,305.78,33.23,49.59,15.622077628,355.50635564,117,4.3211785084,-0.88722088494,-0.15,1.95
82.7,305.72,33.11,49.81,15.583316106,355.26383826,124,4.3235442281,-0.99986326136,-0.2,2.01
82.9,305.66,32.98,50.54,15.71896808,355.99815364,131,4.3069525435,-1.0968787477,-0.24,2.06
82.9,305.65,32.92,51.17,15.864268,356.82435094,137,4.2905841889,-1.1250004626,-0.29,2.11
83,305.68,32.89,51.39,15.922375957,356.9607077,143,4.2840028195,-1.1391888784,-0.35,2.15
83.3,305.7,32.84,51.32,15.873953136,356.43686691,150,4.2883456609,-1.2098534427,-0.4,2.18
83.5,305.67,32.75,51.18,15.75771892,355.60214579,156,4.2993117204,-1.3352874892,-0.46,2.2
83.8,305.6,32.62,51.08,15.622077628,354.68358846,162,4.3118831265,-1.5054711528,-0.52,2.22
83.9,305.51,32.47,50.95,15.457320075,353.63001216,168,4.3275009808,-1.7181010176,-0.58,2.23
84.3,305.43,32.33,50.77,15.292507361,352.53127842,175,4.3435332391,-1.9368346363,-0.64,2.22
84.5,305.39,32.22,50.74,15.20523123,351.84624135,181,4.3515788074,-2.1208129593,-0.7,2.22
84.6,305.36,32.14,50.92,15.195532927,351.68804311,188,4.35143774,-2.2932930082,-0.77,2.2
84.7,305.35,32.06,51.16,15.20523123,351.63539639,194,4.3491247869,-2.4346781904,-0.83,2.18
84.8,305.35,31.99,51.35,15.214929342,351.51555403,201,4.3469663323,-2.6023794171,-0.89,2.16
84.9,305.36,31.93,51.6,15.253719879,351.54108379,209,4.3417175973,-2.793895933,-0.96,2.13
85,305.38,31.87,51.95,15.321595967,351.75123921,216,4.333260874,-2.9472809797,-1.02,2.09
