Header,Index_number,Seconds_UTC,Pressure_hPa,Altitude_km,Temp_degC,RawTemp_degC,Theta_K,RH_percent,Frostpoint_degC,InternalTemp_degC,Ozonecurrent_uA,Ozone_mPa,Ozone_ppmv,PumpTemp_degC,OzoneBattery_V,PumpCurrent_mA,Latitude_deg,Longitude_deg,GPSAltitude_km,WindSpeed_mps,WindDirection_deg
"53, 1001",1,62646,1007.74,0.0585,32.71,32.85,305.187,45.12,19.27,48.18,1.204,4.9656,0.0493,43.91,16.6,98,39.25411,-76.7095,0.056,0,180
"Sullivan, John T.",2,62647,1007.7,0.0588,32.7196,32.8596,305.1994,45.2444,19.3178,48.1896,1.2002,4.94934,0.0491,43.91,16.6,98.95676,39.25411,-76.7095,0.056,0,180
NASA/GSFC,3,62648,1007.66,0.0592,32.7783,32.9183,305.2622,45.4929,19.4657,48.2483,1.2049,4.96929,0.0493,43.91,16.6,99,39.25411,-76.7095,0.056,0,180
"Ozonesondes - Electrochemical Concentration Cell (En-Sci), iMet-1-RSB Radiosondes",4,62649,1007.66,0.0592,33.0218,33.1618,305.5049,45.7232,19.7676,48.2221,1.2031,4.962,0.0492,43.91,16.6,99,39.25411,-76.7095,0.056,0,180
OWLETS-2,5,62650,1007.68,0.059,33.0683,33.2083,305.5494,46.0229,19.9126,48.2389,1.203,4.9614,0.0492,43.91,16.6,98.05698,39.25411,-76.7095,0.0551,0,180
"1,1",6,62651,1007.72,0.0587,33.1723,33.3123,305.6498,46.0461,20.01,48.24,1.203,4.9614,0.0492,43.91,16.6,98.05576,39.25411,-76.7095,0.055,0,180
"2018, 06, 18, 2019, 02, 28",7,62652,1007.79,0.058,33.3888,33.5288,305.8593,45.9214,20.1668,48.2437,1.2032,4.96233,0.0492,43.91,16.6,98.92674,39.25411,-76.7095,0.055,0,180
1,8,62653,1007.72,0.0587,33.4991,33.6391,305.9763,45.1612,19.9923,48.29,1.2065,4.97628,0.0494,43.91,16.6085,97.91465,39.25411,-76.7095,0.055,0,180
"Index_number, number",9,62654,1007.7,0.0588,33.481,33.621,305.9598,44.9479,19.8979,48.2896,1.2121,5.00017,0.0496,43.91,16.7,97,39.25411,-76.7095,0.055,0,180
20,10,62655,1007.76,0.0583,33.3031,33.4431,305.7771,44.6936,19.6531,48.2812,1.2148,5.01139,0.0497,43.91,16.7,97,39.25411,-76.7095,0.0549,0,180
