Header,Index_number,Seconds_UTC,Pressure_hPa,Altitude_km,Temp_degC,RawTemp_degC,Theta_K,RH_percent,Frostpoint_degC,InternalTemp_degC,Ozonecurrent_uA,Ozone_mPa,Ozone_ppmv,PumpTemp_degC,OzoneBattery_V,PumpCurrent_mA,Latitude_deg,Longitude_deg,GPSAltitude_km,WindSpeed_mps,WindDirection_deg
"53, 1001",1,61217,1019.65,0.004,23.38,23.52,294.887,65.47,16.546,50.98,1.323,5.0699,0.0497,45.56,17,65,39.24227,-76.3629,0.006,3.33,180
"Sullivan, John T.",2,61218,1019.67,0.0038,23.1373,23.2773,294.6433,65.305,16.2761,50.98,1.3279,5.08941,0.0499,45.56,17,65,39.24226,-76.3629,0.006,3.2815,180
NASA/GSFC,3,61219,1019.64,0.004,23.0124,23.1524,294.5219,65.398,16.1798,50.9702,1.3309,5.10181,0.05,45.56,17,65,39.24226,-76.3629,0.006,3.4123,177.5897
"Ozonesondes - Electrochemical Concentration Cell (En-Sci), iMet-1-RSB Radiosondes",4,61220,1019.61,0.0043,22.8912,23.0312,294.4042,65.499,16.0889,50.9601,1.334,5.11398,0.0502,45.56,17,65,39.24227,-76.3629,0.006,3.5486,175.1049
OWLETS-2,5,61221,1019.56,0.0048,22.62,22.76,294.138,66.5,16.069,50.94,1.348,5.1703,0.0507,45.56,17,65,39.24227,-76.3629,0.005,3.71,177.04
"1,1",6,61222,1019.55,0.0049,22.51,22.65,294.03,66.92,16.063,50.99,1.397,5.367,0.0526,45.56,17,65,39.24229,-76.3628,0.009,3.78,177.67
"2018, 06, 08, 2019, 02, 28",7,61223,1019.48,0.0055,22.39,22.53,293.916,66.15,15.768,50.95,1.404,5.3951,0.0529,45.56,17,65,39.24231,-76.3628,0.015,3.84,178.07
1,8,61224,1019.28,0.0072,22.0308,22.1708,293.5752,65.6063,15.2981,51.0471,1.4059,5.40287,0.053,45.56,17,64.02912,39.24234,-76.3628,0.0218,3.7138,181.905
"Index_number, number",9,61225,1018.91,0.0103,21.7033,21.8433,293.2799,66.0453,15.09,51.0104,1.3931,5.35143,0.0525,45.56,17,64,39.24237,-76.3629,0.0279,3.6308,183.5344
20,10,61226,1018.45,0.0142,21.4579,21.5979,293.0734,66.5528,14.9763,50.9507,1.3828,5.30987,0.0521,45.56,17,64,39.24241,-76.3629,0.0341,3.6281,183.5362
"1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1",11,61227,1017.86,0.0192,21.2463,21.3863,292.9118,65.8316,14.6061,51.018,1.3597,5.21718,0.0512,45.56,17,64,39.24245,-76.363,0.0398,3.4358,182.1515
"-99999, -99999, -99999, -99999, -99999, -99999, -99999, -99999, -99999, -99999, -99999, -99999, -99999, -99999, -99999, -99999, -99999, -99999, -99999, -99999",12,61228,1017.27,0.0243,21.2697,21.4097,292.9842,68.3934,15.2206,50.9507,1.3729,5.27003,0.0518,45.56,17,64,39.24249,-76.363,0.0459,3.232,180.0215
"Seconds_UTC, s",13,61229,1016.62,0.0298,21.24,21.38,293.007,69.39,15.417,50.98,1.377,5.2867,0.052,45.56,17,64,39.24253,-76.363,0.052,3.09,178.23
"Pressure_hPa, hPa",14,61230,1015.89,0.036,21.2691,21.4091,293.0963,69.7007,15.5151,50.9897,1.3644,5.23602,0.0515,45.56,17,64,39.24258,-76.363,0.0569,3.2648,176.2106
"Altitude_km, km",15,61231,1015.3,0.0411,21.2007,21.3407,293.0772,69.4724,15.3982,50.9999,1.3848,5.31794,0.0524,45.56,17,64,39.24263,-76.3629,0.0639,3.3789,175.0909
"Temp_degC, degC",16,61232,1014.73,0.046,21.06,21.2,292.984,69.01,15.16,51,1.4,5.379,0.053,45.56,17,64,39.24266,-76.3629,0.072,3.47,172.88
"RawTemp_degC, degC",17,61233,1014.1,0.0513,21.1765,21.3165,293.152,69.5051,15.3823,50.9709,1.4049,5.39851,0.0532,45.57,17,64.97088,39.24271,-76.3629,0.0769,3.7127,170.7344
"Theta_K, K",18,61234,1013.46,0.0568,21.1084,21.2484,293.136,70.5008,15.5389,51.0302,1.3871,5.32733,0.0526,45.57,17,65,39.24277,-76.363,0.081,3.9302,169.7841
"RH_percent, percent",19,61235,1012.82,0.0623,20.9516,21.0916,293.033,71.5792,15.6251,51.0498,1.3979,5.37057,0.053,45.57,17,65,39.24284,-76.363,0.085,3.9498,172.1959
"Frostpoint_degC, degC",20,61236,1012.29,0.0668,20.94,21.08,293.065,71.91,15.686,50.98,1.433,5.5115,0.0544,45.57,17,65,39.24288,-76.3629,0.09,4.18,174.29
"InternalTemp_degC, degC",21,61237,1011.76,0.0714,20.92,21.06,293.089,71.64,15.608,50.98,1.437,5.5276,0.0546,45.57,17,65,39.24292,-76.3629,0.096,4.31,174.47
"Ozonecurrent_uA, uA",22,61238,1011.28,0.0755,20.9103,21.0503,293.1191,71.7274,15.6177,50.98,1.4234,5.47304,0.0541,45.57,17,65,39.24294,-76.3629,0.1009,4.4265,175.1884
"Ozone_mPa, mPa",23,61239,1010.7,0.0805,20.8902,21.0302,293.1477,72.0368,15.6655,50.98,1.4171,5.44755,0.0539,45.57,17,65,39.24296,-76.3629,0.105,4.3013,177.2094
"Ozone_ppmv, ppmv",24,61240,1010.22,0.0846,20.85,20.99,293.147,72.38,15.701,51.04,1.416,5.4433,0.0539,45.57,17,65,39.24297,-76.3629,0.111,4.43,181.34
"PumpTemp_degC, degC",25,61241,1009.67,0.0894,20.8015,20.9415,293.1441,72.8654,15.7593,51.0109,1.4335,5.51349,0.0546,45.57,17,65,39.24297,-76.3629,0.1159,4.731,187.3788
"OzoneBattery_V, V",26,61242,1009.18,0.0935,20.6911,20.8311,293.0737,72.3653,15.5452,51.0397,1.4548,5.59904,0.0555,45.57,17,65,39.24298,-76.3629,0.1209,4.74,187.56
