Header,Index_number,Seconds_UTC,Pressure_hPa,Altitude_km,Temp_degC,RawTemp_degC,Theta_K,RH_percent,Frostpoint_degC,InternalTemp_degC,Ozonecurrent_uA,Ozone_mPa,Ozone_ppmv,PumpTemp_degC,OzoneBattery_V,PumpCurrent_mA,Latitude_deg,Longitude_deg,GPSAltitude_km,WindSpeed_mps,WindDirection_deg
"53, 1001",1,62412,1015.67,0.004,27.85,27.99,299.666,75.32,23.079,49.9,1.349,5.1415,0.0506,44.27,17,62,39.24225,-76.3629,0.006,5.08,161.86
"Sullivan, John T.",2,62413,1015.66,0.0041,27.6181,27.7581,299.436,75.3317,22.8585,49.89,1.3572,5.17394,0.0509,44.27,17,62,39.24225,-76.3629,0.005,5.0783,161.7491
NASA/GSFC,3,62414,1015.71,0.0036,27.53,27.67,299.344,75.4103,22.791,49.8901,1.368,5.21645,0.0514,44.27,17,62,39.24225,-76.3629,0.005,4.9994,156.7227
"Ozonesondes - Electrochemical Concentration Cell (En-Sci), iMet-1-RSB Radiosondes",4,62415,1015.65,0.0042,27.5104,27.6504,299.3293,75.5574,22.8038,49.9391,1.3739,5.23968,0.0516,44.27,17,62,39.24225,-76.3629,0.005,4.6856,158.0953
OWLETS-2,5,62416,1015.62,0.0044,27.4701,27.6101,299.2921,75.6398,22.783,49.8801,1.382,5.27154,0.0519,44.27,17,62,39.24225,-76.3629,0.005,4.68,158.12
"1,1",6,62417,1015.53,0.0052,26.9786,27.1186,298.8109,75.6539,22.3112,49.8796,1.4022,5.35107,0.0526,44.27,17,62,39.24225,-76.3629,0.0041,4.6422,157.8808
"2018, 06, 18, 2019, 02, 28",7,62418,1015.33,0.007,27.41,27.55,299.257,75.85,22.771,49.86,1.46,5.5793,0.055,44.28,17,62,39.24226,-76.3629,0.008,4.75,155.92
1,8,62419,1015.18,0.0083,27.2005,27.3405,299.061,76.0256,22.6061,49.94,1.456,5.56357,0.0548,44.27,17,62,39.24228,-76.3629,0.0131,4.9339,154.4107
"Index_number, number",9,62420,1014.96,0.0102,26.7694,26.9094,298.6504,76.2813,22.2457,49.9399,1.458,5.57125,0.0549,44.27,17,62,39.24231,-76.363,0.017,5.1106,155.3515
20,10,62421,1014.57,0.0136,26.4556,26.5956,298.371,76.9382,22.0829,49.9105,1.4521,5.54821,0.0547,44.28,17,62,39.24238,-76.363,0.0219,5.3851,156.1162
