Header,Index_number,Seconds_UTC,Pressure_hPa,Altitude_km,Temp_degC,RawTemp_degC,Theta_K,RH_percent,Frostpoint_degC,InternalTemp_degC,Ozonecurrent_uA,Ozone_mPa,Ozone_ppmv,PumpTemp_degC,OzoneBattery_V,PumpCurrent_mA,Latitude_deg,Longitude_deg,GPSAltitude_km,WindSpeed_mps,WindDirection_deg
"53, 1001",1,61829,1016.29,0.004,30.19,30.33,301.943,59.79,21.509,52.24,1.655,6.7571,0.0665,50.18,17.3,68,39.24229,-76.3629,0.005,NaN,NaN
"Sullivan, John T.",2,61830,1016.35,0.0035,29.9352,30.0752,301.6839,60.0562,21.3426,52.329,1.641,6.69708,0.0659,50.18,17.3,68.98058,39.24229,-76.3629,0.005,NaN,NaN
NASA/GSFC,3,61831,1016.53,0.0019,30.1974,30.3374,301.9305,60.3669,21.6727,52.2805,1.642,6.70126,0.0659,50.18,17.3,68.00971,39.24228,-76.3629,0.005,NaN,NaN
"Ozonesondes - Electrochemical Concentration Cell (En-Sci), iMet-1-RSB Radiosondes",4,61832,1016.38,0.0032,30.4834,30.6234,302.2275,60.399,21.9499,52.2701,1.6359,6.67513,0.0657,50.18,17.3,68.00971,39.24228,-76.3629,0.005,0.492,208.8912
OWLETS-2,5,61833,1016.28,0.0041,30.8232,30.9632,302.5741,60.3019,22.2422,52.2798,1.6272,6.63765,0.0653,50.18,17.3,68.98058,39.24228,-76.3629,0.005,0.6959,203.0175
"1,1",6,61834,1016.44,0.0027,30.63,30.77,302.368,60.14,22.017,52.34,1.614,6.5812,0.0647,50.18,17.3,69,39.24229,-76.3629,0.005,0.88,191.93
"2018, 06, 29, 2019, 02, 28",7,61835,1016.46,0.0025,30.5534,30.6934,302.2905,60.1032,21.935,52.2602,1.6153,6.58692,0.0648,50.18,17.3,69,39.24229,-76.3629,0.006,0.8864,191.6984
1,8,61836,1016.41,0.0029,30.2233,30.3633,301.9662,59.7634,21.533,52.2699,1.6318,6.65769,0.0655,50.18,17.3,69,39.24229,-76.3629,0.006,1.2068,180.1158
"Index_number, number",9,61837,1016.46,0.0025,29.8922,30.0322,301.6325,59.9498,21.274,50.6175,1.639,6.6884,0.0658,50.18,17.3,69,39.24229,-76.3629,0.005,1.2125,179.9278
20,10,61838,1017.16,-0.0037,30.1078,30.2478,301.7875,59.9302,21.47,51.3625,1.639,6.6884,0.0658,50.18,17.3,69,39.24229,-76.3629,0.005,1.4575,172.7122
"1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1",11,61839,1016.73,0.0001,30.1429,30.2829,301.859,60.325,21.6104,52.2004,1.63,6.64988,0.0654,50.18,17.3,69,39.24229,-76.3629,0.005,1.7232,171.1676
"-99999, -99999, -99999, -99999, -99999, -99999, -99999, -99999, -99999, -99999, -99999, -99999, -99999, -99999, -99999, -99999, -99999, -99999, -99999, -99999",12,61840,1016.56,0.0016,30.4342,30.5742,302.1629,59.8299,21.7482,52.2392,1.632,6.65823,0.0655,50.18,17.3,69,39.24229,-76.3629,0.005,2.0436,167.9248
"Seconds_UTC, s",13,61841,1016.39,0.0031,30.48,30.62,302.223,59.76,21.772,52.32,1.633,6.6627,0.0656,50.18,17.3,69,39.24229,-76.3629,0.006,2.05,167.86
"Pressure_hPa, hPa",14,61842,1016.09,0.0058,30.501,30.641,302.2702,59.6088,21.7506,52.2117,1.628,6.64137,0.0654,50.18,17.3,69,39.24229,-76.3629,0.006,2.2306,165.4447
"Altitude_km, km",15,61843,1015.96,0.0069,30.5495,30.6895,302.3294,59.5506,21.7797,52.2991,1.63,6.64972,0.0655,50.18,17.3,69,39.24229,-76.3629,0.005,2.2597,161.6777
"Temp_degC, degC",16,61844,1016.07,0.0059,30.8411,30.9811,302.6101,59.5334,22.0478,52.2207,1.6763,6.84849,0.0674,50.18,17.3,68,39.24229,-76.3629,0.006,2.2606,161.5675
"RawTemp_degC, degC",17,61845,1016.1,0.0057,29.9479,30.0879,301.7178,58.8732,21.0303,52.2886,1.7064,6.97762,0.0687,50.18,17.3,68,39.2423,-76.3629,0.0099,2.3188,154.315
"Theta_K, K",18,61846,1016.19,0.0049,28.62,28.76,300.389,57.88,19.516,52.37,1.693,6.9201,0.0681,50.18,17.3,68,39.24232,-76.3628,0.014,2.32,154.17
"RH_percent, percent",19,61847,1016,0.0066,27.4556,27.5956,299.2457,57.2094,18.2434,52.1516,1.7201,7.03623,0.0693,50.18,17.3,67,39.24236,-76.3628,0.0181,2.3716,150.6953
"Frostpoint_degC, degC",20,61848,1016.02,0.0064,26.7372,26.8772,298.5292,57.1803,17.5658,52.2292,1.724,7.05293,0.0694,50.18,17.3,67,39.2424,-76.3628,0.0239,2.4492,146.4623
"InternalTemp_degC, degC",21,61849,1015.37,0.012,26.1394,26.2794,297.9879,57.4687,17.0871,52.38,1.7082,6.98537,0.0688,50.18,17.3,67,39.24243,-76.3628,0.029,2.5117,144.26
"Ozonecurrent_uA, uA",22,61850,1014.78,0.0171,26.0806,26.2206,297.9791,57.3413,16.9979,52.38,1.7308,7.08213,0.0698,50.18,17.3,67,39.24247,-76.3629,0.034,2.6783,142.26
"Ozone_mPa, mPa",23,61851,1014.05,0.0235,26.05,26.19,298.01,57.81,17.097,52.4,1.71,6.993,0.069,50.19,17.3,68,39.2425,-76.3629,0.04,2.67,140.73
"Ozone_ppmv, ppmv",24,61852,1013.39,0.0293,26.2285,26.3685,298.2432,59.7747,17.7932,52.231,1.712,7.00147,0.0691,50.19,17.3,68,39.24254,-76.3629,0.046,2.6305,138.4943
"PumpTemp_degC, degC",25,61853,1012.64,0.0358,26.0815,26.2215,298.1598,59.2453,17.5148,52.329,1.709,6.98893,0.069,50.19,17.3,68,39.24259,-76.3629,0.051,2.6795,138.9257
