Header,Index_number,Seconds_UTC,Pressure_hPa,Altitude_km,Temp_degC,RawTemp_degC,Theta_K,RH_percent,Frostpoint_degC,InternalTemp_degC,Ozonecurrent_uA,Ozone_mPa,Ozone_ppmv,PumpTemp_degC,OzoneBattery_V,PumpCurrent_mA,Latitude_deg,Longitude_deg,GPSAltitude_km,WindSpeed_mps,WindDirection_deg
"53, 1001",1,62058,1016.2,0.004,28.18,28.32,299.95,66.03,21.235,52.68,2.14,8.4913,0.0836,47.02,17.3,64,39.24224,-76.3628,0.007,NaN,NaN
"Sullivan, John T.",2,62059,1016.15,0.0044,28.53,28.67,300.303,65.8,21.51,52.79,2.158,8.5653,0.0843,47.04,17.3,64,39.24224,-76.3628,0.007,NaN,NaN
NASA/GSFC,3,62060,1016.24,0.0036,28.4704,28.6104,300.2355,65.8,21.4534,52.9112,2.1771,8.64417,0.0851,47.07,17.3,64,39.24224,-76.3628,0.007,NaN,NaN
"Ozonesondes - Electrochemical Concentration Cell (En-Sci), iMet-1-RSB Radiosondes",4,62061,1016.24,0.0036,28.23,28.37,299.997,65.55,21.163,52.94,2.18,8.6559,0.0852,47.07,17.3,64,39.24224,-76.3628,0.007,NaN,NaN
OWLETS-2,5,62062,1016.21,0.0039,28.78,28.92,300.547,67.33,22.123,52.71,2.187,8.6848,0.0855,47.08,17.3,64,39.24224,-76.3628,0.007,0.07,142.24
"1,1",6,62063,1016.21,0.0039,29.4892,29.6292,301.2522,67.7639,22.9027,52.8206,2.1761,8.64009,0.085,47.08,17.3,64,39.24224,-76.3628,0.007,0.0726,142.2998
"2018, 06, 30, 2019, 02, 28",7,62064,1016.23,0.0037,29.4138,29.5538,301.1755,67.1715,22.6864,52.8802,2.1831,8.66877,0.0853,47.08,17.3,64,39.24224,-76.3628,0.007,0.3298,148.1602
1,8,62065,1016.53,0.0011,29.7898,29.9298,301.5245,68.3089,23.3216,52.8979,2.1919,8.70512,0.0856,47.09,17.3,64,39.24224,-76.3628,0.006,0.3122,142.3161
"Index_number, number",9,62066,1016.84,-0.0016,29.7774,29.9174,301.4863,68.1991,23.2838,52.691,2.1849,8.67636,0.0853,47.09,17.3,64,39.24224,-76.3628,0.006,0.5317,149.9407
20,10,62067,1016.86,-0.0018,30.487,30.627,302.1897,68.092,23.9322,52.7898,2.1722,8.62453,0.0848,47.09,17.3,64,39.24224,-76.3628,0.006,0.7064,158.755
"1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1",11,62068,1017.1,-0.0039,29.8363,29.9763,301.5222,67.1839,23.0916,52.7808,2.181,8.66066,0.0851,47.09,17.3,64,39.24224,-76.3628,0.006,1.0297,154.9764
"-99999, -99999, -99999, -99999, -99999, -99999, -99999, -99999, -99999, -99999, -99999, -99999, -99999, -99999, -99999, -99999, -99999, -99999, -99999, -99999",12,62069,1017.21,-0.0049,29.1539,29.2939,300.8339,65.8878,22.1227,52.82,2.1832,8.66935,0.0852,47.09,17.3,64,39.24225,-76.3628,0.006,1.5127,149.85
"Seconds_UTC, s",13,62070,1017.3,-0.0057,28.5498,28.6898,300.2262,65.6675,21.4952,52.8199,2.1991,8.73432,0.0859,47.09,17.3,64,39.24225,-76.3628,0.006,1.782,149.85
"Pressure_hPa, hPa",14,62071,1016.8,-0.0013,28.53,28.67,300.248,65.42,21.415,52.81,2.207,8.7667,0.0862,47.09,17.3,64,39.24224,-76.3628,0.006,1.98,149.85
"Altitude_km, km",15,62072,1016.69,-0.0003,28.27,28.41,299.998,65.5,21.188,52.95,2.205,8.7585,0.0861,47.09,17.3,64,39.24224,-76.3628,0.006,2.4,150.41
"Temp_degC, degC",16,62073,1016.45,0.0018,28.32,28.46,300.068,65.55,21.249,52.74,2.209,8.7749,0.0863,47.09,17.3,64,39.24224,-76.3628,0.006,2.77,155.51
