Header,Index_number,Seconds_UTC,Pressure_hPa,Altitude_km,Temp_degC,RawTemp_degC,Theta_K,RH_percent,Frostpoint_degC,InternalTemp_degC,Ozonecurrent_uA,Ozone_mPa,Ozone_ppmv,PumpTemp_degC,OzoneBattery_V,PumpCurrent_mA,Latitude_deg,Longitude_deg,GPSAltitude_km,WindSpeed_mps,WindDirection_deg
"53, 1001",1,61396,1013.85,0.06,23.04,23.18,295.028,47.92,11.422,45.25,1.263,4.818,0.0475,39.95,16.6,74,39.25428,-76.7093,0.06,0.66,237.15
"Sullivan, John T.",2,61397,1013.77,0.0607,22.9722,23.1122,294.967,47.6293,11.2689,45.25,1.2601,4.80647,0.0474,39.95,16.6,74,39.25428,-76.7093,0.06,0.66,237.15
NASA/GSFC,3,61398,1013.84,0.0601,22.9304,23.0704,294.9205,47.4121,11.1611,45.2698,1.2649,4.8257,0.0476,39.95,16.6,74,39.25429,-76.7093,0.059,0.66,237.15
"Ozonesondes - Electrochemical Concentration Cell (En-Sci), iMet-1-RSB Radiosondes",4,61399,1013.76,0.0608,22.9704,23.1104,294.9665,47.3284,11.1708,45.2698,1.27,4.84594,0.0478,39.95,16.6,74,39.2543,-76.7093,0.058,0.66,237.15
OWLETS-2,5,61400,1013.69,0.0614,22.9898,23.1298,294.9918,47.2407,11.1611,45.2601,1.272,4.85364,0.0479,39.95,16.6,74,39.2543,-76.7093,0.058,0.66,237.15
"1,1",6,61401,1013.73,0.061,23.2723,23.4123,295.2702,47.0715,11.3645,45.2297,1.271,4.8497,0.0478,39.95,16.6,74,39.25431,-76.7093,0.058,0.6484,236.398
"2018, 06, 07, 2019, 02, 28",7,61402,1013.74,0.0609,23.3595,23.4995,295.3555,47.1297,11.4624,45.2201,1.27,4.84582,0.0478,39.95,16.6,74,39.25431,-76.7093,0.058,0.2027,207.4736
1,8,61403,1013.79,0.0605,23.7662,23.9062,295.7573,47.4205,11.9259,45.2797,1.275,4.8657,0.048,39.95,16.6,74,39.25432,-76.7093,0.058,0.2052,205.9505
"Index_number, number",9,61404,1013.76,0.0608,23.9891,24.1291,295.9811,47.4399,12.1362,45.27,1.275,4.8657,0.048,39.95,16.6,74,39.25432,-76.7093,0.057,0.3893,157.7528
20,10,61405,1013.74,0.0609,24.3245,24.4645,296.3175,47.6505,12.5096,45.2712,1.2809,4.88904,0.0482,39.95,16.7,74,39.25432,-76.7093,0.0571,0.3952,157.5972
"1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1",11,61406,1013.73,0.061,24.809,24.949,296.801,47.9993,13.0629,45.3099,1.277,4.87383,0.0481,39.96,16.7,74,39.25432,-76.7092,0.059,0.5697,158.8375
"-99999, -99999, -99999, -99999, -99999, -99999, -99999, -99999, -99999, -99999, -99999, -99999, -99999, -99999, -99999, -99999, -99999, -99999, -99999, -99999",12,61407,1013.71,0.0612,25.3306,25.4706,297.3215,48.2181,13.6081,45.3197,1.2739,4.86263,0.048,40.04,16.7,74,39.25432,-76.7092,0.059,0.5772,158.1254
"Seconds_UTC, s",13,61408,1013.74,0.0609,25.6602,25.8002,297.6472,48.1585,13.8907,45.3097,1.27,4.84798,0.0478,40.09,16.7,74,39.25432,-76.7092,0.059,0.801,135.9422
"Pressure_hPa, hPa",14,61409,1013.73,0.061,25.6986,25.8386,297.6864,47.9047,13.8442,45.26,1.269,4.84413,0.0478,40.09,16.7,74,39.25432,-76.7093,0.058,0.97,137.91
"Altitude_km, km",15,61410,1013.8,0.0604,25.9523,26.0923,297.9333,47.7498,14.026,45.2602,1.27,4.84787,0.0478,40.09,16.7,74,39.25432,-76.7093,0.058,0.9713,137.8676
"Temp_degC, degC",16,61411,1013.8,0.0604,26.217,26.357,298.197,47.7124,14.2557,45.2805,1.2659,4.83182,0.0477,40.09,16.7,74,39.25432,-76.7093,0.058,1.1338,132.7352
"RawTemp_degC, degC",17,61412,1013.84,0.0601,25.6749,25.8149,297.6539,47.3957,13.658,45.3002,1.2629,4.81978,0.0475,40.09,16.7,74,39.25432,-76.7093,0.056,1.2907,134.5747
"Theta_K, K",18,61413,1013.89,0.0596,25.194,25.334,297.1713,46.98,13.0857,45.3182,1.255,4.7884,0.0472,40.09,16.7,74,39.25432,-76.7093,0.057,1.3618,132.0387
"RH_percent, percent",19,61414,1013.72,0.0611,25.701,25.841,297.6903,46.9714,13.544,45.2529,1.2556,4.79084,0.0472,40.09,16.7,74,39.25432,-76.7093,0.057,1.4349,129.288
"Frostpoint_degC, degC",20,61415,1013.63,0.0619,25.4668,25.6068,297.464,46.7692,13.2646,45.3189,1.2703,4.84929,0.0478,40.09,16.7,74,39.25432,-76.7093,0.058,1.5521,126.4518
"InternalTemp_degC, degC",21,61416,1013.51,0.0629,24.034,24.174,296.0468,46.7305,11.9487,45.2512,1.2899,4.92716,0.0486,40.09,16.7,74,39.25432,-76.7093,0.0612,1.6847,127.6643
