Header,Index_number,Seconds_UTC,Pressure_hPa,Altitude_km,Temp_degC,RawTemp_degC,Theta_K,RH_percent,Frostpoint_degC,InternalTemp_degC,Ozonecurrent_uA,Ozone_mPa,Ozone_ppmv,PumpTemp_degC,OzoneBattery_V,PumpCurrent_mA,Latitude_deg,Longitude_deg,GPSAltitude_km,WindSpeed_mps,WindDirection_deg
"53, 1001",1,64316,1013.27,0.004,29.46,29.6,301.476,64.87,22.16,47.67,1.739,6.8434,0.0675,42.27,17.1,62,39.24216,-76.3628,0.008,NaN,NaN
"Sullivan, John T.",2,64317,1013.37,0.0031,29.73,29.87,301.736,65.02,22.453,47.76,1.737,6.8353,0.0675,42.27,17.1,62,39.24216,-76.3628,0.008,NaN,NaN
NASA/GSFC,3,64318,1013.75,-0.0002,29.8442,29.9842,301.8183,64.521,22.4343,47.7904,1.7311,6.81151,0.0672,42.27,17.1,63,39.24216,-76.3628,0.007,NaN,NaN
"Ozonesondes - Electrochemical Concentration Cell (En-Sci), iMet-1-RSB Radiosondes",4,64319,1013.73,-0.0001,29.5558,29.6958,301.5317,64.069,22.0467,47.8096,1.7349,6.82699,0.0673,42.27,17.1,63,39.24216,-76.3628,0.007,NaN,NaN
OWLETS-2,5,64320,1013.88,-0.0014,29.5104,29.6504,301.4745,63.862,21.9509,47.7209,1.737,6.83522,0.0674,42.27,17.1,63,39.24216,-76.3628,0.007,NaN,NaN
"1,1",6,64321,1013.93,-0.0018,29.5001,29.6401,301.4601,64.5926,22.1272,47.7893,1.739,6.84332,0.0675,42.27,17.1,63,39.24216,-76.3628,0.007,0.3386,165.3917
"2018, 07, 02, 2019, 02, 28",7,64322,1013.91,-0.0017,29.5,29.64,301.461,64.9,22.205,47.78,1.74,6.8474,0.0675,42.27,17.1,63,39.24216,-76.3628,0.006,0.59,171.98
1,8,64323,1013.87,-0.0013,29.61,29.75,301.574,64.53,22.216,47.81,1.739,6.8434,0.0675,42.27,17.1,63,39.24216,-76.3628,0.006,0.82,171.74
"Index_number, number",9,64324,1013.9,-0.0016,29.5071,29.6471,301.469,64.8617,22.2022,47.7806,1.737,6.8353,0.0674,42.27,17.1,63,39.24216,-76.3628,0.005,0.8277,171.5985
20,10,64325,1013.97,-0.0022,29.8629,30.0029,301.818,64.9483,22.5608,47.8094,1.737,6.8353,0.0674,42.27,17.1,63,39.24216,-76.3628,0.006,1.2123,164.5215
"1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1",11,64326,1013.83,-0.0009,29.8898,30.0298,301.8567,64.4551,22.4611,47.8001,1.734,6.82342,0.0673,42.27,17.1,63,39.24216,-76.3628,0.006,1.6061,174.368
"-99999, -99999, -99999, -99999, -99999, -99999, -99999, -99999, -99999, -99999, -99999, -99999, -99999, -99999, -99999, -99999, -99999, -99999, -99999, -99999",12,64327,1013.81,-0.0008,29.86,30,301.828,63.93,22.298,47.83,1.734,6.8233,0.0673,42.27,17.1,63,39.24216,-76.3628,0.006,1.84,171.12
"Seconds_UTC, s",13,64328,1013.82,-0.0009,29.5732,29.7132,301.5421,63.9601,22.0351,47.9099,1.734,6.8231,0.0673,42.27,17.1,63,39.24216,-76.3628,0.006,1.8431,171.0847
