Header,Index_number,Seconds_UTC,Pressure_hPa,Altitude_km,Temp_degC,RawTemp_degC,Theta_K,RH_percent,Frostpoint_degC,InternalTemp_degC,Ozonecurrent_uA,Ozone_mPa,Ozone_ppmv,PumpTemp_degC,OzoneBattery_V,PumpCurrent_mA,Latitude_deg,Longitude_deg,GPSAltitude_km,WindSpeed_mps,WindDirection_deg
"53, 1001",1,72130,1013.5,0.004,29.34,29.44,301.33,48.94,17.5,47.34,1.88,6.9844,0.0689,40.87,17.1,68,39.24217,-76.3628,0.013,0.31,152.69
"Sullivan, John T.",2,72131,1013.39,0.005,29.0067,29.1067,301.0075,48.94,17.1951,47.4086,1.878,6.97832,0.0689,40.94,17.1,68,39.24218,-76.3628,0.013,0.31,152.69
NASA/GSFC,3,72132,1013.17,0.0069,29.38,29.48,301.398,49.05,17.571,47.46,1.879,6.9823,0.0689,40.95,17.1,68,39.24219,-76.3628,0.013,0.31,152.69
"Ozonesondes - Electrochemical Concentration Cell (En-Sci), iMet-1-RSB Radiosondes",4,72133,1013.1,0.0075,30.0912,30.1912,302.1123,49.0416,18.2183,47.3435,1.8719,6.95476,0.0687,40.95,17.1,68,39.24219,-76.3628,0.013,0.31,152.69
OWLETS-2,5,72134,1013.07,0.0078,30.13,30.23,302.154,48.76,18.162,47.46,1.869,6.9435,0.0685,40.95,17.1,68,39.2422,-76.3628,0.013,0.31,152.69
"1,1",6,72135,1012.94,0.0089,30.5151,30.6151,302.548,48.5341,18.44,47.4796,1.868,6.93976,0.0685,40.95,17.1,68,39.2422,-76.3628,0.012,0.3033,142.3621
"2018, 07, 01, 2019, 02, 28",7,72136,1012.97,0.0087,30.7515,30.8515,302.7815,48.7404,18.7227,47.4565,1.87,6.94715,0.0686,40.95,17.1,68.03847,39.2422,-76.3628,0.011,0.4604,148.8854
1,8,72137,1012.98,0.0086,30.54,30.64,302.57,49,18.615,47.37,1.869,6.9435,0.0685,40.95,17.1,69,39.24221,-76.3628,0.011,0.47,165.52
"Index_number, number",9,72138,1013.03,0.0081,30.472,30.572,302.4982,49.0194,18.5587,47.4574,1.87,6.94719,0.0686,40.95,17.1,69,39.24221,-76.3628,0.011,0.47,165.52
20,10,72139,1013,0.0084,30.086,30.186,302.1164,48.5344,18.0486,47.4988,1.8674,6.9371,0.0685,40.95,17.1,68,39.24221,-76.3628,0.011,1.1008,175.2768
"1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1",11,72140,1012.91,0.0092,29.7454,29.8454,301.7841,48.6362,17.7705,47.4696,1.876,6.9706,0.0688,40.95,17.1,68,39.24221,-76.3628,0.01,1.3846,180.1138
"-99999, -99999, -99999, -99999, -99999, -99999, -99999, -99999, -99999, -99999, -99999, -99999, -99999, -99999, -99999, -99999, -99999, -99999, -99999, -99999",12,72141,1013.01,0.0083,29.63,29.73,301.661,48.54,17.634,47.46,1.876,6.9706,0.0688,40.95,17.1,68,39.24221,-76.3628,0.01,2,182.96
"Seconds_UTC, s",13,72142,1013.01,0.0083,29.7803,29.8803,301.8103,48.5358,17.77,47.4997,1.8623,6.91749,0.0683,40.95,17.1,68,39.2422,-76.3628,0.01,2.4676,184.0103
"Pressure_hPa, hPa",14,72143,1012.99,0.0085,30.1104,30.2104,302.1416,48.418,18.0322,47.4893,1.8396,6.82919,0.0674,40.95,17.1,68.0367,39.2422,-76.3628,0.01,3.0502,183.3914
"Altitude_km, km",15,72144,1012.9,0.0093,30.1195,30.2195,302.1572,48.8675,18.1872,47.4709,1.8286,6.78644,0.067,40.95,17.1,68.95412,39.2422,-76.3628,0.01,3.5548,183.6758
"Temp_degC, degC",16,72145,1012.88,0.0095,30.343,30.443,302.3819,48.9385,18.4151,47.5476,1.8261,6.77684,0.0669,40.95,17.1,69,39.2422,-76.3628,0.01,4.6172,182.866
"RawTemp_degC, degC",17,72146,1012.91,0.0092,30.4589,30.5589,302.4949,49.1281,18.5823,47.5401,1.8201,6.75354,0.0667,40.95,17.1,69,39.2422,-76.3628,0.009,5.422,181.7314
"Theta_K, K",18,72147,1012.88,0.0095,29.7709,29.8709,301.8117,48.9844,17.9075,47.54,1.8462,6.85502,0.0677,40.95,17.1,69,39.2422,-76.3628,0.0109,5.7115,181.4191
"RH_percent, percent",19,72148,1012.95,0.0088,29.712,29.812,301.7482,49.2748,17.9479,47.54,1.8898,7.02414,0.0693,40.95,17.1,68.04902,39.2422,-76.3628,0.0158,5.9768,181.5146
"Frostpoint_degC, degC",20,72149,1012.63,0.0117,29.3029,29.4029,301.367,49.765,17.73,47.5303,1.9172,7.13051,0.0704,40.95,17.1,68,39.24221,-76.3629,0.0218,6.1936,181.52
"InternalTemp_degC, degC",21,72150,1012.1,0.0164,28.5674,28.6674,300.68,50.2452,17.2083,47.4904,1.9418,7.22585,0.0714,40.95,17.1,68,39.24228,-76.3629,0.0279,6.2,181.6091
"Ozonecurrent_uA, uA",22,72151,1011.7,0.0199,27.9352,28.0352,300.0838,50.0578,16.5706,47.5477,1.9324,7.18951,0.071,40.95,17.1,68,39.24238,-76.3629,0.0347,6.2096,181.9176
"Ozone_mPa, mPa",23,72152,1011.25,0.0237,27.9017,28.0017,300.087,48.5386,16.0557,47.5494,1.9327,7.19106,0.0711,40.97,17.1,68,39.24247,-76.3628,0.0432,6.0847,180.0253
"Ozone_ppmv, ppmv",24,72153,1010.74,0.0283,27.9572,28.0572,300.187,46.8256,15.5446,47.5309,1.9216,7.14967,0.0707,41.05,17.1,68,39.24253,-76.3628,0.0506,6.2421,180.8679
"PumpTemp_degC, degC",25,72154,1010.12,0.0337,28.1248,28.2248,300.4062,45.0339,15.0896,47.5494,1.9142,7.12211,0.0705,41.09,17.1,68,39.2426,-76.3628,0.0578,6.473,180.91
"OzoneBattery_V, V",26,72155,1009.48,0.0393,28.4269,28.5269,300.7614,40.9218,13.8793,47.5698,1.8853,7.00985,0.0694,41.09,17.1,68,39.24271,-76.3628,0.0629,6.5394,180.811
"PumpCurrent_mA, mA",27,72156,1008.77,0.0456,28.8279,28.9279,301.2221,38.0071,13.1022,47.6185,1.9102,7.10673,0.0705,41.09,17.1,68,39.24281,-76.3627,0.0679,6.6468,180.7906
