Header,Index_number,Seconds_UTC,Pressure_hPa,Altitude_km,Temp_degC,RawTemp_degC,Theta_K,RH_percent,Frostpoint_degC,InternalTemp_degC,Ozonecurrent_uA,Ozone_mPa,Ozone_ppmv,PumpTemp_degC,OzoneBattery_V,PumpCurrent_mA,Latitude_deg,Longitude_deg,GPSAltitude_km,WindSpeed_mps,WindDirection_deg
"53, 1001",1,65317,1011.95,0.06,29.64,29.78,301.769,46.12,16.842,50.03,1.912,7.6603,0.0757,41.82,16.9,61,39.2544,-76.7093,0.054,0.89,310.73
"Sullivan, John T.",2,65318,1011.83,0.0611,30.1405,30.2805,302.2777,45.941,17.2348,50.0302,1.9129,7.6638,0.0757,41.82,16.9,61,39.2544,-76.7093,0.054,1.2323,302.6946
NASA/GSFC,3,65319,1011.72,0.062,30.1605,30.3005,302.3076,46.0036,17.2746,50.0397,1.9038,7.6266,0.0754,41.82,16.9,61,39.2544,-76.7093,0.055,1.3795,293.0518
"Ozonesondes - Electrochemical Concentration Cell (En-Sci), iMet-1-RSB Radiosondes",4,65320,1011.7,0.0622,29.8676,30.0076,302.0167,46.1175,17.0483,50.03,1.8984,7.60457,0.0751,41.82,16.9,61,39.25439,-76.7093,0.055,1.6562,285.5083
OWLETS-2,5,65321,1011.7,0.0622,29.6331,29.7731,301.7835,46.2605,16.8842,50.0225,1.9108,7.65524,0.0757,41.82,16.9,61,39.25439,-76.7093,0.0552,1.583,276.3663
"1,1",6,65322,1011.85,0.0609,29.3106,29.4506,301.4498,46.4667,16.6618,49.8813,2.0017,8.02851,0.0794,41.83,16.9,61,39.25438,-76.7093,0.059,1.448,270.0703
"2018, 06, 17, 2019, 02, 28",7,65323,1011.54,0.0636,29.3872,29.5272,301.5523,47.3097,17.0143,50.0441,1.9624,7.86711,0.0778,41.82,16.9,61,39.25435,-76.7093,0.0638,1.199,278.8538
1,8,65324,1010.97,0.0687,29.1289,29.2689,301.3431,47.9457,16.9894,50.0508,1.9236,7.70793,0.0763,41.82,16.9,61,39.25434,-76.7093,0.0702,1.28,284.48
"Index_number, number",9,65325,1010.59,0.072,29.1001,29.2401,301.346,48.5874,17.1733,50.0699,1.914,7.66866,0.0759,41.82,16.9,61,39.25434,-76.7092,0.075,1.529,284.48
20,10,65326,1010.04,0.0768,28.8895,29.0295,301.183,49.0524,17.1314,50.0205,1.9084,7.64569,0.0757,41.82,16.9,61,39.25436,-76.7092,0.079,1.6286,275.5443
"1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1",11,65327,1009.62,0.0805,28.8512,28.9912,301.1811,49.2536,17.161,50.0588,1.9448,7.79502,0.0773,41.82,16.9,61,39.25439,-76.7091,0.0829,1.5137,265.0653
"-99999, -99999, -99999, -99999, -99999, -99999, -99999, -99999, -99999, -99999, -99999, -99999, -99999, -99999, -99999, -99999, -99999, -99999, -99999, -99999",12,65328,1009.04,0.0857,28.8076,28.9476,301.1866,49.2698,17.1261,50.1262,1.9388,7.77008,0.077,41.82,16.9,61,39.25442,-76.7091,0.0883,1.4139,255.7566
"Seconds_UTC, s",13,65329,1008.59,0.0897,28.7606,28.9006,301.1781,49.6653,17.209,50.0509,1.9143,7.66971,0.076,41.82,16.9,61,39.25443,-76.7091,0.0939,1.2915,235.0881
"Pressure_hPa, hPa",14,65330,1007.96,0.0952,28.7,28.84,301.1712,49.7915,17.1935,50.0403,1.9119,7.66008,0.076,41.82,16.9,61,39.25442,-76.7092,0.099,1.2203,225.9176
"Altitude_km, km",15,65331,1007.45,0.0997,28.7096,28.8496,301.2249,50.1554,17.318,50.1073,1.8985,7.605,0.0755,41.82,16.9,61,39.25438,-76.7091,0.1048,1.2969,227.8141
"Temp_degC, degC",16,65332,1006.86,0.1049,28.4954,28.6354,301.0611,50.4627,17.2176,50.1002,1.8863,7.5548,0.075,41.82,16.9,61,39.25436,-76.7091,0.1089,1.4854,225.9583
"RawTemp_degC, degC",17,65333,1005.98,0.1127,28.6422,28.7822,301.2824,50.7554,17.4443,50.1,1.9183,7.6863,0.0764,41.82,16.9,61,39.25436,-76.709,0.1157,1.7183,225.91
"Theta_K, K",18,65334,1005.41,0.1178,28.4323,28.5723,301.1218,50.932,17.3057,50.09,1.9199,7.69255,0.0765,41.82,16.9,61,39.25439,-76.7089,0.1211,2.1417,226.5961
"RH_percent, percent",19,65335,1004.99,0.1215,28.5942,28.7342,301.3199,51.0749,17.499,50.09,1.9103,7.65351,0.0761,41.82,16.9,61,39.25443,-76.7089,0.1249,2.2655,229.1771
"Frostpoint_degC, degC",20,65336,1004.53,0.1255,28.3634,28.5034,301.1289,51.2081,17.3276,50.159,1.9149,7.67231,0.0764,41.82,16.9,61,39.25445,-76.7089,0.1299,2.4179,232.1876
"InternalTemp_degC, degC",21,65337,1003.99,0.1303,28.3699,28.5099,301.181,51.251,17.3473,50.0801,1.928,7.72581,0.077,41.82,16.9,61,39.25444,-76.7089,0.136,2.4197,232.2168
"Ozonecurrent_uA, uA",22,65338,1003.49,0.1347,28.3412,28.4812,301.1954,51.7587,17.4766,50.1376,1.9165,7.67916,0.0765,41.84,16.9,61,39.25442,-76.7089,0.1408,2.2856,225.6364
"Ozone_mPa, mPa",23,65339,1002.78,0.141,28.5152,28.6552,301.4297,52.1986,17.7712,50.1205,1.9082,7.64566,0.0762,41.86,16.9,61,39.25442,-76.7089,0.1459,2.1534,210.99
"Ozone_ppmv, ppmv",24,65340,1002.21,0.1461,28.3022,28.4422,301.2667,52.3783,17.6295,50.1101,1.9228,7.70676,0.0769,41.9,16.9,61,39.25444,-76.7088,0.1519,2.1896,205.6508
"PumpTemp_degC, degC",25,65341,1001.66,0.151,28.28,28.42,301.2913,52.5403,17.6571,50.1101,1.908,7.64638,0.0763,41.93,16.9,61,39.25449,-76.7088,0.155,2.1301,201.4222
"OzoneBattery_V, V",26,65342,1001.1,0.1559,28.28,28.42,301.3392,52.5978,17.6743,50.1293,1.9032,7.62723,0.0762,41.95,16.9,61,39.25454,-76.7088,0.1598,2.1493,203.4625
