Header,Index_number,Seconds_UTC,Pressure_hPa,Altitude_km,Temp_degC,Theta_K,RH_percent,H2O_gpkg,Frostpoint_degC,u_mps,v_mps,WindDirection_deg,WindSpeed_mps,Latitude_deg,Longitude_deg,Ozone_mPa,Ozone_ppmv,intO3_DU,resO3_DU,PumpTemp_degC
"51, 1001",1,737230,1008.8,0.052,32.6,304.98,53.6,16.53,22,-1.4,0.54,111,1.5,39.056,-76.876,7.87,78,0,62.11,36.49
"Sakai, Ricardo K.",2,737231,1008.4,0.055,31.9,304.32,51.7,15.31,20.77,0.6,1.04,209.9,1.2,39.056,-76.876,7.88,78.1,0.02,62.17,36.5
Howard University - Beltsville,3,737232,1008.1,0.058,31.8,304.25,50.9,14.99,20.43,1.14,1.26,222.1,1.7,39.056,-76.876,7.88,78.2,0.04,62.21,36.5
"Ozonesondes - Electrochemical Concentration Cell (Vaisala), Vaisala RS-92 Radiosondes",4,737233,1007.7,0.062,31.8,304.28,51,15.03,20.46,1.4,1.43,224.3,2,39.056,-76.876,7.91,78.5,0.07,62.38,36.5
OWLETS-II,5,737234,1007.1,0.067,31.7,304.23,51.4,15.07,20.49,1.54,1.57,224.4,2.2,39.056,-76.876,7.93,78.7,0.1,62.54,36.5
"1,1",6,737235,1006.5,0.073,31.7,304.29,51.4,15.08,20.49,1.61,1.64,224.4,2.3,39.056,-76.876,7.93,78.8,0.14,62.56,36.5
"2018, 06, 18, 2018, 08, 07",7,737236,1005.9,0.078,31.6,304.24,51.3,14.97,20.37,1.69,1.7,224.8,2.4,39.056,-76.876,7.93,78.8,0.18,62.53,36.5
1,8,737237,1005.3,0.084,31.4,304.09,51.3,14.81,20.19,1.86,1.82,225.6,2.6,39.056,-76.876,7.91,78.7,0.22,62.45,36.5
"Index_number, number",9,737238,1004.7,0.089,31.3,304.04,51.2,14.7,20.06,2.03,1.93,226.5,2.8,39.056,-76.876,7.91,78.7,0.26,62.4,36.5
19,10,737239,1004.1,0.094,31.1,303.89,51.1,14.51,19.85,2.21,2.03,227.5,3,39.056,-76.876,7.91,78.8,0.29,62.4,36.5
"1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1",11,737240,1003.6,0.099,31,303.84,51.2,14.46,19.79,2.32,2.05,228.5,3.1,39.057,-76.876,7.92,78.9,0.32,62.46,36.48
"-99999, -99999, -99999, -99999, -99999, -99999, -99999, -99999, -99999, -99999, -99999, -99999, -99999, -99999, -99999, -99999, -99999, -99999, -99999",12,737241,1003.1,0.103,31,303.88,51.7,14.62,19.94,2.51,2.14,229.5,3.3,39.057,-76.876,7.94,79.2,0.35,62.65,36.47
"Seconds_UTC, s",13,737242,1002.7,0.106,30.9,303.82,52.4,14.74,20.07,2.62,2.16,230.5,3.4,39.057,-76.876,7.96,79.4,0.38,62.78,36.47
"Pressure_hPa, hPa",14,737243,1002.4,0.11,30.9,303.84,52.8,14.86,20.19,2.82,2.24,231.6,3.6,39.057,-76.876,7.99,79.7,0.4,63.02,36.46
"Altitude_km, km",15,737244,1002.1,0.113,30.9,303.87,52.9,14.89,20.22,2.94,2.24,232.7,3.7,39.057,-76.876,8.05,80.3,0.42,63.49,36.45
"Temp_degC, degC",16,737245,1001.7,0.116,30.9,303.9,52.8,14.87,20.19,3.07,2.24,233.8,3.8,39.057,-76.876,8.1,80.9,0.44,63.91,36.45
"Theta_K, K",17,737246,1001.3,0.119,30.8,303.84,52.6,14.73,20.04,3.19,2.24,234.9,3.9,39.057,-76.876,8.12,81.1,0.47,64.1,36.44
"RH_percent, percent",18,737247,1000.9,0.123,30.7,303.77,52.6,14.65,19.94,3.23,2.18,236,3.9,39.057,-76.876,8.13,81.2,0.49,64.17,36.44
