Header,Index_number,Seconds_UTC,Pressure_hPa,Altitude_km,Temp_degC,RawTemp_degC,Theta_K,RH_percent,Frostpoint_degC,InternalTemp_degC,Ozonecurrent_uA,Ozone_mPa,Ozone_ppmv,PumpTemp_degC,OzoneBattery_V,PumpCurrent_mA,Latitude_deg,Longitude_deg,GPSAltitude_km,WindSpeed_mps,WindDirection_deg
"53, 1001",1,62339,1010.19,0.06,33.41,33.41,305.673,30.69,13.828,49.97,1.461,5.5039,0.0545,40.38,17.1,64,39.25425,-76.709,0.061,2.52,176.59
"Sullivan, John T.",2,62340,1010.06,0.0612,33.3607,33.3607,305.6355,30.8478,13.8645,50.0292,1.463,5.51159,0.0546,40.38,17.1,64,39.25425,-76.709,0.061,2.9145,179.9529
NASA/GSFC,3,62341,1010.01,0.0616,33.8009,33.8009,306.0788,30.8241,14.2319,50.0203,1.465,5.5203,0.0547,40.43,17.1,65,39.25425,-76.709,0.061,2.7433,180
"Ozonesondes - Electrochemical Concentration Cell (En-Sci), iMet-1-RSB Radiosondes",4,62342,1010.06,0.0612,33.8346,33.8346,306.1077,30.9486,14.3233,50.0305,1.464,5.51728,0.0546,40.47,17.1,65,39.25424,-76.709,0.062,2.2259,179.9214
OWLETS-2,5,62343,1010.01,0.0616,34.0858,34.0858,306.3628,30.8686,14.4997,50.06,1.4652,5.52286,0.0547,40.52,17.1,65,39.25424,-76.709,0.061,2,175.57
"1,1",6,62344,1009.91,0.0625,33.0306,33.0306,305.3194,30.5235,13.4178,50.0501,1.5264,5.76151,0.0571,40.52,17.1,65,39.25424,-76.709,0.065,2,175.57
"2018, 07, 01, 2019, 02, 28",7,62345,1009.64,0.0649,32.183,32.183,304.4968,30.5615,12.707,50.0292,1.5391,5.81121,0.0576,40.52,17.1,65,39.25426,-76.7089,0.0712,2.2499,176.0222
1,8,62346,1009.16,0.0692,31.7892,31.7892,304.1461,31.068,12.6182,50.0114,1.5185,5.73065,0.0568,40.52,17.1,64.97239,39.25431,-76.7089,0.0751,2.7194,177.3065
"Index_number, number",9,62347,1008.79,0.0724,31.7548,31.7548,304.1432,31.3559,12.7293,50.0597,1.5,5.65861,0.0561,40.52,17.1,64,39.25437,-76.7089,0.0791,3.05,180
20,10,62348,1008.43,0.0757,31.38,31.38,303.8,31.78,12.61,50.04,1.502,5.6663,0.0562,40.52,17.1,64,39.25443,-76.7089,0.084,3.05,180
"1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1",11,62349,1008.03,0.0792,31.3455,31.3455,303.8002,32.1132,12.7392,50.08,1.5036,5.67268,0.0563,40.52,17.1,64,39.25446,-76.7089,0.0892,2.885,182.4916
"-99999, -99999, -99999, -99999, -99999, -99999, -99999, -99999, -99999, -99999, -99999, -99999, -99999, -99999, -99999, -99999, -99999, -99999, -99999, -99999",12,62350,1007.61,0.083,31.0413,31.0413,303.5331,32.0041,12.4231,50.0819,1.4963,5.64413,0.056,40.52,17.1,64,39.25447,-76.7089,0.0931,2.7775,179.9334
"Seconds_UTC, s",13,62351,1006.95,0.0888,31.0837,31.0837,303.6325,33.0564,12.9532,50.1398,1.5064,5.68349,0.0564,40.52,17.1,64,39.25446,-76.709,0.0971,2.7,177.89
"Pressure_hPa, hPa",14,62352,1006.44,0.0934,31.2899,31.2899,303.8821,33.4113,13.2965,50.1299,1.529,5.7716,0.0573,40.52,17.1,64,39.25448,-76.709,0.102,2.6988,177.8989
"Altitude_km, km",15,62353,1005.86,0.0985,31.2672,31.2672,303.9096,33.7443,13.4286,50.0989,1.5227,5.74701,0.0571,40.52,17.1,64,39.25454,-76.709,0.1072,2.4288,180.1116
"Temp_degC, degC",16,62354,1005.36,0.103,31.2212,31.2212,303.9066,34.1505,13.5718,50.0841,1.5174,5.72635,0.0569,40.52,17.1,64,39.25461,-76.709,0.1114,2.7653,182.083
"RawTemp_degC, degC",17,62355,1004.44,0.1112,31.2403,31.2403,304.0056,33.9388,13.4935,50.1785,1.5262,5.7608,0.0573,40.52,17.1,64,39.25473,-76.709,0.1201,3.13,183.5661
"Theta_K, K",18,62356,1003.91,0.116,30.9251,30.9251,303.7365,34.122,13.3001,50.1271,1.5323,5.78474,0.0576,40.52,17.1,64,39.25475,-76.709,0.1254,3.4848,184.4008
