Header,Index_number,Seconds_UTC,Pressure_hPa,Altitude_km,Temp_degC,RawTemp_degC,Theta_K,RH_percent,Frostpoint_degC,InternalTemp_degC,Ozonecurrent_uA,Ozone_mPa,Ozone_ppmv,PumpTemp_degC,OzoneBattery_V,PumpCurrent_mA,Latitude_deg,Longitude_deg,GPSAltitude_km,WindSpeed_mps,WindDirection_deg
"53, 1001",1,62326,1009.42,0.056,32.92,33.06,305.251,33.66,14.831,47.43,1.525,5.7278,0.0567,43.03,16.8,63,39.25425,-76.709,0.061,0.08,90
"Stauffer, Ryan M.",2,62327,1009.45,0.0557,33.1725,33.3125,305.5004,33.6676,15.0541,47.4494,1.5232,5.72084,0.0567,43.03,16.8,63,39.25426,-76.709,0.061,0.0535,269.5433
"USRA, NASA/GSFC",3,62328,1009.54,0.0549,33.3,33.44,305.62,33.55,15.111,47.42,1.534,5.763,0.0571,43.03,16.8,63,39.25425,-76.709,0.061,0.23,246.71
"Ozonesondes - Electrochemical Concentration Cell (En-Sci), iMet-1-RSB Radiosondes",4,62329,1009.48,0.0555,32.9194,33.0594,305.2454,33.4785,14.7468,47.49,1.5251,5.72826,0.0567,43.03,16.8,63,39.25425,-76.709,0.062,0.2321,246.4288
OWLETS-2,5,62330,1009.47,0.0556,32.8974,33.0374,305.2244,33.4318,14.7056,47.4896,1.5291,5.74364,0.0569,43.03,16.8,63,39.25425,-76.709,0.062,0.3007,236.7278
"1,1",6,62331,1009.49,0.0554,32.6655,32.8055,304.9913,33.6117,14.5869,47.4535,1.5354,5.76843,0.0571,43.03,16.8,63,39.25425,-76.709,0.062,0.3782,195.5613
"2018, 07, 01, 2019, 02, 28",7,62332,1009.53,0.055,33.0518,33.1918,305.3727,33.9011,15.056,47.5394,1.5449,5.8061,0.0575,43.05,16.8,63,39.25425,-76.709,0.062,0.58,180
1,8,62333,1009.58,0.0546,33.2196,33.3596,305.5368,34.0127,15.2539,47.4823,1.5406,5.78927,0.0573,43.06,16.8,63,39.25425,-76.709,0.061,0.577,180
"Index_number, number",9,62334,1009.51,0.0552,33.2141,33.3541,305.5371,34.0837,15.2812,47.5394,1.5549,5.84636,0.0579,43.13,16.8,63,39.25426,-76.709,0.062,0.5013,180
20,10,62335,1009.49,0.0554,33.6704,33.8104,305.9934,34.4914,15.8647,47.4714,1.5393,5.78577,0.0573,43.14,16.8,63,39.25426,-76.709,0.061,0.6469,180
"1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1",11,62336,1009.56,0.0547,33.6994,33.8394,306.0164,34.6295,15.9532,47.4706,1.5128,5.68204,0.0563,43.14,16.8,63,39.25426,-76.709,0.061,0.8102,172.65
"-99999, -99999, -99999, -99999, -99999, -99999, -99999, -99999, -99999, -99999, -99999, -99999, -99999, -99999, -99999, -99999, -99999, -99999, -99999, -99999",12,62337,1009.56,0.0547,33.6308,33.7708,305.9478,34.5706,15.866,47.5392,1.4912,5.59802,0.0554,43.16,16.8,63,39.25425,-76.709,0.062,0.8298,172.65
"Seconds_UTC, s",13,62338,1009.56,0.0547,33.2306,33.3706,305.5485,34.5469,15.5061,47.5506,1.501,5.63667,0.0558,43.18,16.8,63,39.25425,-76.709,0.061,0.8363,172.6876
"Pressure_hPa, hPa",14,62339,1009.6,0.0544,33.2597,33.3997,305.5747,34.3818,15.4565,47.5797,1.502,5.64046,0.0559,43.18,16.8,63,39.25425,-76.709,0.061,1.1664,174.6682
"Altitude_km, km",15,62340,1009.57,0.0547,32.9761,33.1161,305.2941,33.9949,15.0331,47.5513,1.5087,5.66664,0.0561,43.18,16.8,63,39.25425,-76.709,0.062,1.4455,176.5477
"Temp_degC, degC",16,62341,1009.59,0.0545,32.9201,33.0601,305.2371,33.6307,14.8174,47.57,1.504,5.64834,0.0559,43.18,16.8,63,39.25425,-76.709,0.062,1.6696,179.9931
"RawTemp_degC, degC",17,62342,1009.62,0.0542,32.2526,32.3926,304.5683,33.5581,14.2026,47.5353,1.5749,5.92578,0.0587,43.18,16.8,63,39.25425,-76.709,0.0631,1.6711,179.7982
"Theta_K, K",18,62343,1009.74,0.0531,31.9877,32.1277,304.2939,33.492,13.941,47.3715,1.572,5.91412,0.0586,43.18,16.8,63,39.25426,-76.7089,0.067,1.7109,172.65
